"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"From Single Agent to Multi-Agent: Improving Traffic Signal Control","https://scispace.com/paper/http://arxiv.org/abs/2406.13693v1","2024","Preprint","","Maksim Tislenko
Dmitrii Kisilev","","http://arxiv.org/pdf/2406.13693v1","Due to accelerating urbanization, the importance of solving the signal
control problem increases. This paper analyzes various existing methods and
suggests options for increasing the number of agents to reduce the average
travel time. Experiments were carried out with 2 datasets. The results show
that in some cases, the implementation of multiple agents can improve existing
methods. For a fine-tuned large language model approach there is small
enhancement on all metrics."
"Diverse Lottery Tickets Boost Ensemble from a Single Pretrained Model","https://scispace.com/paper/http://arxiv.org/abs/2205.11833v1","2022","Preprint","","Sosuke Kobayashi
Shun Kiyono
Jun Suzuki
Kentaro Inui","","http://arxiv.org/pdf/2205.11833v1","Ensembling is a popular method used to improve performance as a last resort.
However, ensembling multiple models finetuned from a single pretrained model
has been not very effective; this could be due to the lack of diversity among
ensemble members. This paper proposes Multi-Ticket Ensemble, which finetunes
different subnetworks of a single pretrained model and ensembles them. We
empirically demonstrated that winning-ticket subnetworks produced more diverse
predictions than dense networks, and their ensemble outperformed the standard
ensemble on some tasks."
"Ensembling Large Language Models with Process Reward-Guided Tree Search
  for Better Complex Reasoning","https://scispace.com/paper/http://arxiv.org/abs/2412.15797v1","2024","Preprint","","Sungjin Park
Xiao Liu
Yeyun Gong
Edward Choi","","http://arxiv.org/pdf/2412.15797v1","Despite recent advances in large language models, open-source models often
struggle to consistently perform well on complex reasoning tasks. Existing
ensemble methods, whether applied at the token or output levels, fail to
address these challenges. In response, we present Language model Ensemble with
Monte Carlo Tree Search (LE-MCTS), a novel framework for process-level
ensembling of language models. LE-MCTS formulates step-by-step reasoning with
an ensemble of language models as a Markov decision process. In this framework,
states represent intermediate reasoning paths, while actions consist of
generating the next reasoning step using one of the language models selected
from a predefined pool. Guided by a process-based reward model, LE-MCTS
performs a tree search over the reasoning steps generated by different language
models, identifying the most accurate reasoning chain. Experimental results on
five mathematical reasoning benchmarks demonstrate that our approach
outperforms both single language model decoding algorithms and language model
ensemble methods. Notably, LE-MCTS improves performance by 3.6% and 4.3% on the
MATH and MQA datasets, respectively, highlighting its effectiveness in solving
complex reasoning problems."
"Hit the Sweet Spot! Span-Level Ensemble for Large Language Models","https://scispace.com/paper/http://arxiv.org/abs/2409.18583v1","2024","Preprint","","Yangyifan Xu
Jianghao Chen
Junhong Wu
Jiajun Zhang","","http://arxiv.org/pdf/2409.18583v1","Ensembling various LLMs to unlock their complementary potential and leverage
their individual strengths is highly valuable. Previous studies typically focus
on two main paradigms: sample-level and token-level ensembles. Sample-level
ensemble methods either select or blend fully generated outputs, which hinders
dynamic correction and enhancement of outputs during the generation process. On
the other hand, token-level ensemble methods enable real-time correction
through fine-grained ensemble at each generation step. However, the information
carried by an individual token is quite limited, leading to suboptimal
decisions at each step. To address these issues, we propose SweetSpan, a
span-level ensemble method that effectively balances the need for real-time
adjustments and the information required for accurate ensemble decisions. Our
approach involves two key steps: First, we have each candidate model
independently generate candidate spans based on the shared prefix. Second, we
calculate perplexity scores to facilitate mutual evaluation among the candidate
models and achieve robust span selection by filtering out unfaithful scores. To
comprehensively evaluate ensemble methods, we propose a new challenging setting
(ensemble models with significant performance gaps) in addition to the standard
setting (ensemble the best-performing models) to assess the performance of
model ensembles in more realistic scenarios. Experimental results in both
standard and challenging settings across various language generation tasks
demonstrate the effectiveness, robustness, and versatility of our approach
compared with previous ensemble methods."
"Efficient Test Time Adapter Ensembling for Low-resource Language
  Varieties","https://scispace.com/paper/http://arxiv.org/abs/2109.04877v1","2021","Preprint","","Xinyi Wang
Yulia Tsvetkov
Sebastian Ruder
Graham Neubig","","http://arxiv.org/pdf/2109.04877v1","Adapters are light-weight modules that allow parameter-efficient fine-tuning
of pretrained models. Specialized language and task adapters have recently been
proposed to facilitate cross-lingual transfer of multilingual pretrained models
(Pfeiffer et al., 2020b). However, this approach requires training a separate
language adapter for every language one wishes to support, which can be
impractical for languages with limited data. An intuitive solution is to use a
related language adapter for the new language variety, but we observe that this
solution can lead to sub-optimal performance. In this paper, we aim to improve
the robustness of language adapters to uncovered languages without training new
adapters. We find that ensembling multiple existing language adapters makes the
fine-tuned model significantly more robust to other language varieties not
included in these adapters. Building upon this observation, we propose Entropy
Minimized Ensemble of Adapters (EMEA), a method that optimizes the ensemble
weights of the pretrained language adapters for each test sentence by
minimizing the entropy of its predictions. Experiments on three diverse groups
of language varieties show that our method leads to significant improvements on
both named entity recognition and part-of-speech tagging across all languages."
"Ensemble Debates with Local Large Language Models for AI Alignment","https://scispace.com/paper/http://arxiv.org/abs/2509.00091v1","2025","Preprint","","Ephraiem Sarabamoun","","http://arxiv.org/pdf/2509.00091v1","As large language models (LLMs) take on greater roles in high-stakes
decisions, alignment with human values is essential. Reliance on proprietary
APIs limits reproducibility and broad participation. We study whether local
open-source ensemble debates can improve alignmentoriented reasoning. Across
150 debates spanning 15 scenarios and five ensemble configurations, ensembles
outperform single-model baselines on a 7-point rubric (overall: 3.48 vs. 3.13),
with the largest gains in reasoning depth (+19.4%) and argument quality
(+34.1%). Improvements are strongest for truthfulness (+1.25 points) and human
enhancement (+0.80). We provide code, prompts, and a debate data set, providing
an accessible and reproducible foundation for ensemble-based alignment
evaluation."
"Regularized Neural Ensemblers","https://scispace.com/paper/http://arxiv.org/abs/2410.04520v2","2024","Preprint","","Sebastian Pineda Arango
Maciej Janowski
Lennart Purucker
Arber Zela
Frank Hutter
Josif Grabocka","","http://arxiv.org/pdf/2410.04520v2","Ensemble methods are known for enhancing the accuracy and robustness of
machine learning models by combining multiple base learners. However, standard
approaches like greedy or random ensembling often fall short, as they assume a
constant weight across samples for the ensemble members. This can limit
expressiveness and hinder performance when aggregating the ensemble
predictions. In this study, we explore employing regularized neural networks as
ensemble methods, emphasizing the significance of dynamic ensembling to
leverage diverse model predictions adaptively. Motivated by the risk of
learning low-diversity ensembles, we propose regularizing the ensembling model
by randomly dropping base model predictions during the training. We demonstrate
this approach provides lower bounds for the diversity within the ensemble,
reducing overfitting and improving generalization capabilities. Our experiments
showcase that the regularized neural ensemblers yield competitive results
compared to strong baselines across several modalities such as computer vision,
natural language processing, and tabular data."
"CAMERO: Consistency Regularized Ensemble of Perturbed Language Models
  with Weight Sharing","https://scispace.com/paper/http://arxiv.org/abs/2204.06625v2","2022","Preprint","","Chen Liang
Pengcheng He
Yelong Shen
Weizhu Chen
Tuo Zhao","","http://arxiv.org/pdf/2204.06625v2","Model ensemble is a popular approach to produce a low-variance and
well-generalized model. However, it induces large memory and inference costs,
which are often not affordable for real-world deployment. Existing work has
resorted to sharing weights among models. However, when increasing the
proportion of the shared weights, the resulting models tend to be similar, and
the benefits of using model ensemble diminish. To retain ensemble benefits
while maintaining a low memory cost, we propose a consistency-regularized
ensemble learning approach based on perturbed models, named CAMERO.
Specifically, we share the weights of bottom layers across all models and apply
different perturbations to the hidden representations for different models,
which can effectively promote the model diversity. Meanwhile, we apply a
prediction consistency regularizer across the perturbed models to control the
variance due to the model diversity. Our experiments using large language
models demonstrate that CAMERO significantly improves the generalization
performance of the ensemble model. Specifically, CAMERO outperforms the
standard ensemble of 8 BERT-base models on the GLUE benchmark by 0.7 with a
significantly smaller model size (114.2M vs. 880.6M)."
"Improving Reinforcement Learning from Human Feedback with Efficient
  Reward Model Ensemble","https://scispace.com/paper/http://arxiv.org/abs/2401.16635v3","2024","Preprint","","Shun Zhang
Zhenfang Chen
Sunli Chen
Yikang Shen
Zhiqing Sun
Chuang Gan","","http://arxiv.org/pdf/2401.16635v3","Reinforcement Learning from Human Feedback (RLHF) is a widely adopted
approach for aligning large language models with human values. However, RLHF
relies on a reward model that is trained with a limited amount of human
preference data, which could lead to inaccurate predictions. As a result, RLHF
may produce outputs that are misaligned with human values. To mitigate this
issue, we contribute a reward ensemble method that allows the reward model to
make more accurate predictions. As using an ensemble of large language
model-based reward models can be computationally and resource-expensive, we
explore efficient ensemble methods including linear-layer ensemble and
LoRA-based ensemble. Empirically, we run Best-of-$n$ and Proximal Policy
Optimization with our ensembled reward models, and verify that our ensemble
methods help improve the alignment performance of RLHF outputs."
"When to Ensemble: Identifying Token-Level Points for Stable and Fast LLM
  Ensembling","https://scispace.com/paper/http://arxiv.org/abs/2510.15346v1","2025","Preprint","","Heecheol Yun
Kwangmin Ki
Junghyun Lee
Eunho Yang","","http://arxiv.org/pdf/2510.15346v1","Ensembling Large Language Models (LLMs) has gained attention as a promising
approach to surpass the performance of individual models by leveraging their
complementary strengths. In particular, aggregating models' next-token
probability distributions to select the next token has been shown to be
effective in various tasks. However, while successful for short-form answers,
its application to long-form generation remains underexplored. In this paper,
we show that using existing ensemble methods in long-form generation requires a
careful choice of ensembling positions, since the standard practice of
ensembling at every token often degrades performance. We identify two key
factors for determining these positions: tokenization mismatch across models
and consensus in their next-token probability distributions. Based on this, we
propose SAFE, (Stable And Fast LLM Ensembling), a framework that selectively
ensembles by jointly considering these factors. To further improve stability,
we introduce a probability sharpening strategy that consolidates probabilities
spread across multiple sub-word tokens representing the same word into a single
representative token. Our experiments on diverse benchmarks, including MATH500
and BBH, demonstrate that SAFE outperforms existing methods in both accuracy
and efficiency, with gains achieved even when ensembling fewer than 1% of
tokens."
"UCAM Biomedical translation at WMT19: Transfer learning multi-domain
  ensembles","https://scispace.com/paper/http://arxiv.org/abs/1906.05786v1","2019","Preprint","","Danielle Saunders
Felix Stahlberg
Bill Byrne","","http://arxiv.org/pdf/1906.05786v1","The 2019 WMT Biomedical translation task involved translating Medline
abstracts. We approached this using transfer learning to obtain a series of
strong neural models on distinct domains, and combining them into multi-domain
ensembles. We further experiment with an adaptive language-model ensemble
weighting scheme. Our submission achieved the best submitted results on both
directions of English-Spanish."
