"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Large language model-based agents for software engineering: A survey","https://scispace.com/paper/large-language-model-based-agents-for-software-engineering-a-5edi77w6grl0","2024","Journal Article","","Junwei Liu
Kaixin Wang
Yixuan Chen
Xin Peng
Zhenpeng Chen
Lingming Zhang
Yiling Lou","10.48550/arxiv.2409.02977","https://arxiv.org/pdf/2409.02977?","… recent advance in Large Language Models (LLMs) has shaped … challenges of multi-agent systems for software engineering. … However, given the diversity and complexity of the root …","The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the capabilities of perceiving and utilizing external resources and tools. To date, LLM-based agents have been applied and shown remarkable effectiveness in Software Engineering (SE). The synergy between multiple agents and human interaction brings further promise in tackling complex real-world SE problems. In this work, we present a comprehensive and systematic survey on LLM-based agents for SE. We collect 106 papers and categorize them from two perspectives, i.e., the SE and agent perspectives. In addition, we discuss open challenges and future directions in this critical domain. The repository of this survey is at https://github.com/FudanSELab/Agent4SE-Paper-List. "
"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead","https://scispace.com/paper/llm-based-multi-agent-systems-for-software-engineering-3nfzqoopnexw","2025","Journal Article","ACM Transactions on Software Engineering and Methodology","Junda He
Christoph Treude
David Lo","10.1145/3712003","https://arxiv.org/pdf/2404.04834","… of integrating Large Language Models into Multi-Agent (LMA) … A prominent multi-agent setup for code generation typically on … This analysis emphasizes both the agents’ strengths and …","Integrating Large Language Models (LLMs) into autonomous agents marks a significant shift in the research landscape by offering cognitive abilities that are competitive with human planning and reasoning. This paper explores the transformative potential of integrating Large Language Models into Multi-Agent (LMA) systems for addressing complex challenges in software engineering (SE). By leveraging the collaborative and specialized abilities of multiple agents, LMA systems enable autonomous problem-solving, improve robustness, and provide scalable solutions for managing the complexity of real-world software projects. In this paper, we conduct a systematic review of recent primary studies to map the current landscape of LMA applications across various stages of the software development lifecycle (SDLC). To illustrate current capabilities and limitations, we perform two case studies to demonstrate the effectiveness of state-of-the-art LMA frameworks. Additionally, we identify critical research gaps and propose a comprehensive research agenda focused on enhancing individual agent capabilities and optimizing agent synergy. Our work outlines a forward-looking vision for developing fully autonomous, scalable, and trustworthy LMA systems, laying the foundation for the evolution of Software Engineering 2.0. "
"From llms to llm-based agents for software engineering: A survey of current, challenges and future","https://scispace.com/paper/from-llms-to-llm-based-agents-for-software-engineering-a-2fb63jbcpnef","2024","Journal Article","","Haolin Jin
Li Huang
Haipeng Cai
Jun Yan
Bo Li
Huaming Chen","10.48550/arxiv.2408.02479","https://arxiv.org/pdf/2408.02479","… Abstract—With the rise of large language models (LLMs), … ACM Digital Library could further complement our search by … both single-agent and multi-agent systems. We will also covers …","With the rise of large language models (LLMs), researchers are increasingly exploring their applications in var ious vertical domains, such as software engineering. LLMs have achieved remarkable success in areas including code generation and vulnerability detection. However, they also exhibit numerous limitations and shortcomings. LLM-based agents, a novel tech nology with the potential for Artificial General Intelligence (AGI), combine LLMs as the core for decision-making and action-taking, addressing some of the inherent limitations of LLMs such as lack of autonomy and self-improvement. Despite numerous studies and surveys exploring the possibility of using LLMs in software engineering, it lacks a clear distinction between LLMs and LLM based agents. It is still in its early stage for a unified standard and benchmarking to qualify an LLM solution as an LLM-based agent in its domain. In this survey, we broadly investigate the current practice and solutions for LLMs and LLM-based agents for software engineering. In particular we summarise six key topics: requirement engineering, code generation, autonomous decision-making, software design, test generation, and software maintenance. We review and differentiate the work of LLMs and LLM-based agents from these six topics, examining their differences and similarities in tasks, benchmarks, and evaluation metrics. Finally, we discuss the models and benchmarks used, providing a comprehensive analysis of their applications and effectiveness in software engineering. We anticipate this work will shed some lights on pushing the boundaries of LLM-based agents in software engineering for future research. "
"Multi-agent collaboration mechanisms: A survey of llms","https://scispace.com/paper/multi-agent-collaboration-mechanisms-a-survey-of-llms-gxsw03fw1w2m","2025","Journal Article","arXiv.org","Khanh-Tung Tran
Dung Dao
Minh-Duong Nguyen
Quoc-Viet Pham
Barry O’Sullivan
Hoang D. Nguyen","10.48550/arxiv.2501.06322","https://arxiv.org/pdf/2501.06322","… 2.2 Large Language Models LLMs - driven by the … problem-solving, collective decision making, and complementary … diversity, cautioning against treating stand-alone LLMs as universal …",""
"Large language model based multi-agents: A survey of progress and challenges","https://scispace.com/paper/large-language-model-based-multi-agents-a-survey-of-progress-4xiklwolkq","2024","Journal Article","arXiv.org","Taicheng Guo
Xiuying Chen
Yaqi Wang
Ruidi Chang
Shichao Pei
Nitesh V. Chawla
Olaf Wiest
Xiangliang Zhang","10.48550/arxiv.2402.01680","https://arxiv.org/pdf/2402.01680","… Large Language Models (LLMs) have achieved remarkable … tial aspects of multi-agent systems based on LLMs, as well as … LLM-MA techniques and to complement existing surveys by …","Large Language Models (LLMs) have achieved remarkable success across a wide array of tasks. Due to the impressive planning and reasoning abilities of LLMs, they have been used as autonomous agents to do many tasks automatically. Recently, based on the development of using one LLM as a single planning or decision-making agent, LLM-based multi-agent systems have achieved considerable progress in complex problem-solving and world simulation. To provide the community with an overview of this dynamic field, we present this survey to offer an in-depth discussion on the essential aspects of multi-agent systems based on LLMs, as well as the challenges. Our goal is for readers to gain substantial insights on the following questions: What domains and environments do LLM-based multi-agents simulate? How are these agents profiled and how do they communicate? What mechanisms contribute to the growth of agents' capacities? For those interested in delving into this field of study, we also summarize the commonly used datasets or benchmarks for them to have convenient access. To keep researchers updated on the latest studies, we maintain an open-source GitHub repository, dedicated to outlining the research on LLM-based multi-agent systems."
"Large Language Models-Based Agents in Software Development","https://scispace.com/paper/-9gGZ_GH7M4J","","","","AJ Asunmaa","","https://aaltodoc.aalto.fi/bitstreams/ab7865f2-2fbc-4a66-b161-82b9e61288fc/download","… strengths and weaknesses in three key phases of software … In this thesis context, single- and multi-agent models are … process: requirements engineering, code generation, and …",""
"Merge, ensemble, and cooperate! a survey on collaborative strategies in the era of large language models","https://scispace.com/paper/merge-ensemble-and-cooperate-a-survey-on-collaborative-4jruy8g79z","2024","Journal Article","","Jinliang Lu
Ziliang Pang
Min Xiao
Yaochen Zhu
Rui Xia
Jiajun Zhang","10.48550/arxiv.2407.06089","https://arxiv.org/pdf/2407.06089","… , LLMs trained on different corpora exhibit varying strengths and … of research can be traced back to studies on attribute-controlled text generation, which encourage language models to …","The remarkable success of Large Language Models (LLMs) has ushered natural language processing (NLP) research into a new era. Despite their diverse capabilities, LLMs trained on different corpora exhibit varying strengths and weaknesses, leading to challenges in maximizing their overall efficiency and versatility. To address these challenges, recent studies have explored collaborative strategies for LLMs. This paper provides a comprehensive overview of this emerging research area, highlighting the motivation behind such collaborations. Specifically, we categorize collaborative strategies into three primary approaches: Merging, Ensemble, and Cooperation. Merging involves integrating multiple LLMs in the parameter space. Ensemble combines the outputs of various LLMs. Cooperation} leverages different LLMs to allow full play to their diverse capabilities for specific tasks. We provide in-depth introductions to these methods from different perspectives and discuss their potential applications. Additionally, we outline future research directions, hoping this work will catalyze further studies on LLM collaborations and paving the way for advanced NLP applications. "
"Large language models for software engineering: A systematic literature review","https://scispace.com/paper/large-language-models-for-software-engineering-a-systematic-1j69c9384z","2023","Preprint","","Xinyi Hou
Yanjie Zhao
Yue Liu
Yang Zhou
Kailong Wang
Li Li
Xiapu Luo
David Lo
John Grundy
Haoyu Wang","10.48550/arxiv.2308.10620","https://arxiv.org/pdf/2308.10620","… , establishing a basis for text generation and understanding [295]. … the-art, pinpointing the key strengths, weaknesses, and gaps in … This study thus aims to answer the following research …","Large Language Models (LLMs) have significantly impacted numerous domains, including Software Engineering (SE). Many recent publications have explored LLMs applied to various SE tasks. Nevertheless, a comprehensive understanding of the application, effects, and possible limitations of LLMs on SE is still in its early stages. To bridge this gap, we conducted a systematic literature review on LLM4SE, with a particular focus on understanding how LLMs can be exploited to optimize processes and outcomes. We collect and analyze 229 research papers from 2017 to 2023 to answer four key research questions (RQs). In RQ1, we categorize different LLMs that have been employed in SE tasks, characterizing their distinctive features and uses. In RQ2, we analyze the methods used in data collection, preprocessing, and application highlighting the role of well-curated datasets for successful LLM for SE implementation. RQ3 investigates the strategies employed to optimize and evaluate the performance of LLMs in SE. Finally, RQ4 examines the specific SE tasks where LLMs have shown success to date, illustrating their practical contributions to the field. From the answers to these RQs, we discuss the current state-of-the-art and trends, identifying gaps in existing research, and flagging promising areas for future study. "
"Software testing with large language models: Survey, landscape, and vision","https://scispace.com/paper/software-testing-with-large-language-models-survey-landscape-1e8o1s1vz4","2024","Journal Article","IEEE Transactions on Software Engineering","Junjie Wang
Yuchao Huang
Chunyang Chen
Zhe Liu
Song Wang
Qing Wang","10.1109/tse.2024.3368208","https://arxiv.org/pdf/2307.07221","… as a supplementary source for collecting additional papers. … task and a generation task with LLM, then ensemble the prediction … LLMs with other techniques optimizes their strengths and …",""
"Multi-Agent AI Collaboration: Advancing Software Engineering with Autonomous LLMs","https://scispace.com/paper/d8dCgiGeaRUJ","","","","I Zahid
I Hussain","","https://www.researchgate.net/profile/Ijaz-Hussain-23/publication/388835227_Multi-Agent_AI_Collaboration_Advancing_Software_Engineering_with_Autonomous_LLMs/links/67a8fabd645ef274a478ae49/Multi-Agent-AI-Collaboration-Advancing-Software-Engineering-with-Autonomous-LLMs.pdf","… on code generation, debugging, project management, and software … This study concludes that multiagent AI systems are poised … With the advent of Large Language Models (LLMs), …",""
