"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Consensagent: Towards efficient and effective consensus in multi-agent llm interactions through sycophancy mitigation","https://scispace.com/paper/consensagent-towards-efficient-and-effective-consensus-in-annxysch8ygl","2025","Proceedings Article","","Priya Pitre
Naren Ramakrishnan
Xuan Wang","10.18653/v1/2025.findings-acl.1141","https://aclanthology.org/2025.findings-acl.1141.pdf","… of multi-agent LLM debates (MAD) and discover a surprising limitation: agents often struggle to reach consensus … Datasets We test multi-agent LLM debate on six publicly available …","Multi-agent large language model (LLM) systems have shown remarkable performance in tasks such as reasoning, planning, and decision-making. However, their applicability is limited by challenges such as high computational costs and robustness issues. In this work, we identify and systematically evaluate a critical yet overlooked challenge: sycophancy, where agents reinforce each other’s responses instead of critically engaging with the debate. This behavior inflates computational costs by requiring additional debate rounds to reach consensus, limiting the efficiency of multi-agent LLM systems. Through experiments on six benchmark reasoning datasets across three models, we analyze the impact of sycophancy and its role in reducing the reliability of multi-agent debate. Motivated by our findings, we propose C ONSENS A GENT , a novel framework that dynamically refines prompts based on agent interactions to mitigate sycophancy. C ONSEN - S A GENT improves accuracy of the debate while maintaining efficiency. It significantly outperforms both single-agent and multi-agent base-lines, achieving state-of-the-art results across all benchmark datasets. Our findings highlight the crucial role of structured prompt optimization in multi-agent setups and establish a foundation for more reliable, efficient multi-agent LLM systems in real-world applications. 1"
"LLM-Consensus: Multi-Agent Debate for Visual Misinformation Detection","https://scispace.com/paper/LMzO-MHQnkkJ","","","","K Lakara
G Channing
J Sock
C Rupprecht","","https://arxiv.org/pdf/2410.20140?","… Specifically, our framework MAD-Sherlock: a Multi-Agent Debate system for OOC Misinformation Detection frames the detection problem as a dialectic debate between multiple LMM …",""
"Voting or consensus? Decision-making in multi-agent debate","https://scispace.com/paper/voting-or-consensus-decision-making-in-multi-agent-debate-jkg9bpf7m1w7","2025","Journal Article","arXiv.org","Lars Benedikt Kaesberg
Jonas Becker
Jan Philip Wahle
Terry Ruas
Bela Gipp","10.48550/arxiv.2502.19130","https://arxiv.org/pdf/2502.19130","… studies have investigated how decision-making influences large language model (LLM) collaboration and their ability to problem-solve. Current approaches often apply decision strate…","Much of the success of multi-agent debates depends on carefully choosing the right parameters. The decision-making protocol stands out as it can highly impact final model answers, depending on how decisions are reached. Systematic comparison of decision protocols is difficult because many studies alter multiple discussion parameters beyond the protocol. So far, it has been largely unknown how decision-making influences different tasks. This work systematically evaluates the impact of seven decision protocols (e.g., majority voting, unanimity consensus). We change only one variable at a time - the decision protocol - to analyze how different methods affect the collaboration between agents and measure differences in knowledge and reasoning tasks. Our results show that voting protocols improve performance by 13.2% in reasoning tasks and consensus protocols by 2.8% in knowledge tasks compared to other decision protocols. Increasing the number of agents improves performance, while more discussion rounds before voting reduce it. To improve decision-making by increasing answer diversity, we propose two new methods, All-Agents Drafting (AAD) and Collective Improvement (CI). Our methods improve task performance by up to 3.3% with AAD and up to 7.4% with CI. This work demonstrates the importance of decision-making in multi-agent debates beyond scaling."
"Finding Common Ground: Using Large Language Models to Detect Agreement in Multi-Agent Decision Conferences","https://scispace.com/paper/finding-common-ground-using-large-language-models-to-detect-4lsgohmjxuys","2025","Journal Article","arXiv.org","Selina Heller
Mohamed Ibrahim
D. Selby
Sebastian Vollmer","10.48550/arxiv.2507.08440","https://arxiv.org/pdf/2507.08440","… In this work, we present a novel LLMbased multi-agent … and is ideal for reaching a consensus or a more refined solution … for facilitating debate in LLM-based multi-agent systems. Our …","Decision conferences are structured, collaborative meetings that bring together experts from various fields to address complex issues and reach a consensus on recommendations for future actions or policies. These conferences often rely on facilitated discussions to ensure productive dialogue and collective agreement. Recently, Large Language Models (LLMs) have shown significant promise in simulating real-world scenarios, particularly through collaborative multi-agent systems that mimic group interactions. In this work, we present a novel LLM-based multi-agent system designed to simulate decision conferences, specifically focusing on detecting agreement among the participant agents. To achieve this, we evaluate six distinct LLMs on two tasks: stance detection, which identifies the position an agent takes on a given issue, and stance polarity detection, which identifies the sentiment as positive, negative, or neutral. These models are further assessed within the multi-agent system to determine their effectiveness in complex simulations. Our results indicate that LLMs can reliably detect agreement even in dynamic and nuanced debates. Incorporating an agreement-detection agent within the system can also improve the efficiency of group debates and enhance the overall quality and coherence of deliberations, making them comparable to real-world decision conferences regarding outcome and decision-making. These findings demonstrate the potential for LLM-based multi-agent systems to simulate group decision-making processes. They also highlight that such systems could be instrumental in supporting decision-making with expert elicitation workshops across various domains."
"Debate or Vote: Which Yields Better Decisions in Multi-Agent Large Language Models?","https://scispace.com/paper/debate-or-vote-which-yields-better-decisions-in-multi-agent-b61g41ah58uw","2025","Journal Article","arXiv.org","Hyeong Kyu Choi
Xiaojin Zhu
Yixuan Li","10.48550/arxiv.2508.17536","https://arxiv.org/pdf/2508.17536?","… that Majority Voting is as effective as Multi-Agent Debate, when … voting’s success probability, and rigorously characterizes … We consider a set of N language model agents, denoted by {a1…","Multi-Agent Debate~(MAD) has emerged as a promising paradigm for improving the performance of large language models through collaborative reasoning. Despite recent advances, the key factors driving MAD's effectiveness remain unclear. In this work, we disentangle MAD into two key components--Majority Voting and inter-agent Debate--and assess their respective contributions. Through extensive experiments across seven NLP benchmarks, we find that Majority Voting alone accounts for most of the performance gains typically attributed to MAD. To explain this, we propose a theoretical framework that models debate as a stochastic process. We prove that it induces a martingale over agents'belief trajectories, implying that debate alone does not improve expected correctness. Guided by these insights, we demonstrate that targeted interventions, by biasing the belief update toward correction, can meaningfully enhance debate effectiveness. Overall, our findings suggest that while MAD has potential, simple ensembling methods remain strong and more reliable alternatives in many practical settings. Code is released in https://github.com/deeplearning-wisc/debate-or-vote."
"Literature Review Of Multi-Agent Debate For Problem-Solving","https://scispace.com/paper/literature-review-of-multi-agent-debate-for-problem-solving-11vua4j59vrg","2025","Journal Article","arXiv.org","Arne Tillmann","10.48550/arxiv.2506.00066","https://arxiv.org/pdf/2506.00066?","… • How do multi-agent LLM systems scale with the number of agents and rounds of debate … They also compare it with majority voting to terminate the debate at an optimal juncture to …",""
"An electoral approach to diversify llm-based multi-agent collective decision-making","https://scispace.com/paper/an-electoral-approach-to-diversify-llm-based-multi-agent-us9swd7jtib2","2024","Journal Article","","Xianbo Zhao
Sheng Wang
Wei Ma","10.48550/arxiv.2410.15168","https://arxiv.org/pdf/2410.15168","… Frameworks that adapt plurality voting often introduce multi-… Multiagent debate process is found to improve LLMs’ … , all existing LLM-agent collaboration frameworks that employ voting …","Modern large language models (LLMs) have exhibited cooperative synergy on complex task-solving, and collective decision-making (CDM) is a pivotal component in LLM-based multi-agent collaboration frameworks. Our survey on 52 recent such systems uncovers a severe lack of diversity, with a heavy reliance on dictatorial and plurality voting for CDM. Through the lens of social choice theory, we scrutinize widely-adopted CDM methods and identify their limitations. To enrich current landscape of LLM-based CDM, we present GEDI, an electoral CDM module that incorporates various ordinal preferential voting mechanisms. Our empirical case study across three benchmarks shows that the integration of certain CDM methods can markedly improve the reasoning capabilities and robustness of some leading LLMs, all without requiring intricate system designs. Additionally, we find that some CDM mechanisms generate positive synergies even with as few as three agents. The voting-based methods also demonstrate robustness against single points of failure, as well as diversity in terms of hit-rate@k and subject-wise impacts. "
"Free-mad: Consensus-free multi-agent debate","https://scispace.com/paper/xZYD-Tfost8J","","","","Y Cui
H Fu
H Zhang
L Wang
C Zuo","","https://arxiv.org/pdf/2509.11035?","… that LLM agents can exhibit conformity [18–20], meaning that during multi-agent interactions, … , conformity-driven consensus [21, 10, 12, 22] during the debate process is required to yield …",""
"Learning to deliberate: Meta-policy collaboration for agentic llms with multi-agent reinforcement learning","https://scispace.com/paper/spuQAGXS2sUJ","","","","W Yang
J Thomason","","https://arxiv.org/pdf/2509.03817","… We formalize the multi-agent deliberation process as a … -making and consensus formation to enhance multiagent reasoning. … tion framework for multi-agent LLM collaboration, enabling …",""
"Coordination in Multi-Agent LLM Systems: The Role of a Question-Asking Agent in Guiding Collaborative Consensus","https://scispace.com/paper/mjQHd5KcyN8J","","","","K Roohani","","https://digital.wpi.edu/downloads/fq978037t","… debate, and reflection have shown promising improvements in multiagent Large Language Model (LLM… research introduces a novel component to multi-agent LLM systems: a Question-…",""
