"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"AgentsBench: A Multi-Agent LLM Simulation Framework for Legal Judgment Prediction","https://scispace.com/paper/agentsbench-a-multi-agent-llm-simulation-framework-for-legal-b4846v209h2p","2025","Journal Article","Systems","Cong Jiang
Xiaolei Yang","10.3390/systems13080641","","The justice system has increasingly applied AI techniques for legal judgment to enhance efficiency. However, most AI techniques focus on decision-making outcomes, failing to capture the deliberative nature of the real-world judicial process. To address these challenges, we propose a large language model-based multi-agent framework named AgentsBench. Our approach leverages multiple LLM-driven agents that simulate the discussion process of the Chinese judicial bench, which is often composed of professional and lay judge agents. We conducted experiments on a legal judgment prediction task, and the results show that our framework outperforms existing LLM-based methods in terms of performance and decision quality. By incorporating these elements, our framework reflects real-world judicial processes more closely, enhancing accuracy, fairness, and societal consideration. While the simulation is based on China’s lay judge system, our framework is generalizable and can be adapted to various legal scenarios and other legal systems involving collective decision-making processes. ","This study proposes AgentsBench, a multi-agent LLM framework simulating the Chinese judicial bench's deliberative process, outperforming existing LLM-based methods in legal judgment prediction, enhancing accuracy, fairness, and societal consideration in collective decision-making processes."
"Consensus Is All You Need: Gossip-Based Reasoning Among Large Language Models","https://scispace.com/paper/consensus-is-all-you-need-gossip-based-reasoning-among-large-ftexssge6yne","2025","Journal Article","arXiv.org","Saksham Arora","10.48550/arxiv.2508.18292","https://scispace.compdf/consensus-is-all-you-need-gossip-based-reasoning-among-large-ftexssge6yne.pdf","Large language models have advanced rapidly, but no single model excels in every area -- each has its strengths and weaknesses. Instead of relying on one model alone, we take inspiration from gossip protocols in distributed systems, where information is exchanged with peers until they all come to an agreement. In this setup, models exchange answers and gradually work toward a shared solution. Each LLM acts as a node in a peer-to-peer network, sharing responses and thought processes to reach a collective decision. Our results show that this""gossip-based consensus""leads to robust, resilient, and accurate multi-agent AI reasoning. It helps overcome the weaknesses of individual models and brings out their collective strengths. This approach is similar to how humans build consensus, making AI seem more collaborative and trustworthy instead of just a black-box program.","Large language models achieve robust, resilient, and accurate multi-agent reasoning through ""gossip-based consensus"", where models exchange answers and thought processes to reach a collective decision, leveraging their collective strengths and overcoming individual weaknesses."
"Byzantine-Robust Decentralized Coordination of LLM Agents","https://scispace.com/paper/byzantine-robust-decentralized-coordination-of-llm-agents-aahxjgdm04t6","2025","Journal Article","arXiv.org","Yong Geun Jo
Chanik Park","10.48550/arxiv.2507.14928","","Collaboration among multiple large language model (LLM) agents is a promising approach to overcome inherent limitations of single-agent systems, such as hallucinations and single points of failure. As LLM agents are increasingly deployed on open blockchain platforms, multi-agent systems capable of tolerating malicious (Byzantine) agents have become essential. Recent Byzantine-robust multi-agent systems typically rely on leader-driven coordination, which suffers from two major drawbacks. First, they are inherently vulnerable to targeted attacks against the leader. If consecutive leaders behave maliciously, the system repeatedly fails to achieve consensus, forcing new consensus rounds, which is particularly costly given the high latency of LLM invocations. Second, an underperforming proposal from the leader can be accepted as the final answer even when higher-quality alternatives are available, as existing methods finalize the leader's proposal once it receives a quorum of votes. To address these issues, we propose DecentLLMs, a novel decentralized consensus approach for multi-agent LLM systems, where worker agents generate answers concurrently and evaluator agents independently score and rank these answers to select the best available one. This decentralized architecture enables faster consensus despite the presence of Byzantine agents and consistently selects higher-quality answers through Byzantine-robust aggregation techniques. Experimental results demonstrate that DecentLLMs effectively tolerates Byzantine agents and significantly improves the quality of selected answers.","This paper proposes DecentLLMs, a decentralized consensus approach for multi-agent LLM systems, addressing leader-vulnerability and underperforming proposals by concurrently generating and evaluating answers, enabling faster and higher-quality consensus despite Byzantine agents."
"When AIs Judge AIs: The Rise of Agent-as-a-Judge Evaluation for LLMs","https://scispace.com/paper/when-ais-judge-ais-the-rise-of-agent-as-a-judge-evaluation-wikefxyschw8","2025","Journal Article","arXiv.org","Fangyi Yu","10.48550/arxiv.2508.02994","https://scispace.compdf/when-ais-judge-ais-the-rise-of-agent-as-a-judge-evaluation-wikefxyschw8.pdf","As large language models (LLMs) grow in capability and autonomy, evaluating their outputs-especially in open-ended and complex tasks-has become a critical bottleneck. A new paradigm is emerging: using AI agents as the evaluators themselves. This""agent-as-a-judge""approach leverages the reasoning and perspective-taking abilities of LLMs to assess the quality and safety of other models, promising calable and nuanced alternatives to human evaluation. In this review, we define the agent-as-a-judge concept, trace its evolution from single-model judges to dynamic multi-agent debate frameworks, and critically examine their strengths and shortcomings. We compare these approaches across reliability, cost, and human alignment, and survey real-world deployments in domains such as medicine, law, finance, and education. Finally, we highlight pressing challenges-including bias, robustness, and meta evaluation-and outline future research directions. By bringing together these strands, our review demonstrates how agent-based judging can complement (but not replace) human oversight, marking a step toward trustworthy, scalable evaluation for next-generation LLMs.","This review introduces ""agent-as-a-judge"" evaluation for large language models, leveraging AI agents to assess model quality and safety, offering scalable and nuanced alternatives to human evaluation, with strengths and shortcomings examined across reliability, cost, and human alignment."
"Multi-Agent Debate Strategies to Enhance Requirements Engineering with Large Language Models","https://scispace.com/paper/multi-agent-debate-strategies-to-enhance-requirements-3ex0n9pbne5d","2025","Journal Article","arXiv.org","Marc Oriol
Quim Motger
Jordi Marco
Xavier Franch","10.48550/arxiv.2507.05981","https://scispace.compdf/multi-agent-debate-strategies-to-enhance-requirements-3ex0n9pbne5d.pdf","Context: Large Language Model (LLM) agents are becoming widely used for various Requirements Engineering (RE) tasks. Research on improving their accuracy mainly focuses on prompt engineering, model fine-tuning, and retrieval augmented generation. However, these methods often treat models as isolated black boxes - relying on single-pass outputs without iterative refinement or collaboration, limiting robustness and adaptability. Objective: We propose that, just as human debates enhance accuracy and reduce bias in RE tasks by incorporating diverse perspectives, different LLM agents debating and collaborating may achieve similar improvements. Our goal is to investigate whether Multi-Agent Debate (MAD) strategies can enhance RE performance. Method: We conducted a systematic study of existing MAD strategies across various domains to identify their key characteristics. To assess their applicability in RE, we implemented and tested a preliminary MAD-based framework for RE classification. Results: Our study identified and categorized several MAD strategies, leading to a taxonomy outlining their core attributes. Our preliminary evaluation demonstrated the feasibility of applying MAD to RE classification. Conclusions: MAD presents a promising approach for improving LLM accuracy in RE tasks. This study provides a foundational understanding of MAD strategies, offering insights for future research and refinements in RE applications.",""
"ACC-Debate: An Actor-Critic Approach to Multi-Agent Debate","https://scispace.com/paper/acc-debate-an-actor-critic-approach-to-multi-agent-debate-7hxxelam6gow","2024","Journal Article","","Andrew Estornell
Jean-François Ton
Yuanshun Yao
Liu Yang","10.48550/arxiv.2411.00053","https://scispace.compdf/acc-debate-an-actor-critic-approach-to-multi-agent-debate-7hxxelam6gow.pdf","Large language models (LLMs) have demonstrated a remarkable ability to serve as general-purpose tools for various language-based tasks. Recent works have demonstrated that the efficacy of such models can be improved through iterative dialog between multiple models, frequently referred to as multi-agent debate (MAD). While debate shows promise as a means of improving model efficacy, most works in this area treat debate as an emergent behavior, rather than a learned behavior. In doing so, current debate frameworks rely on collaborative behaviors to have been sufficiently trained into off-the-shelf models. To address this limitation, we propose ACC-Debate, an Actor-Critic based learning framework to produce a two-agent team specialized in debate. We demonstrate that ACC-Debate outperforms SotA debate techniques on a wide array of benchmarks. ","This paper proposes ACC-Debate, an Actor-Critic based framework for multi-agent debate, improving model efficacy through learned debate behavior, outperforming state-of-the-art techniques on various benchmarks by leveraging iterative dialog between two specialized agents."
"Improving Factuality and Reasoning in Language Models through Multiagent
  Debate","https://scispace.com/paper/improving-factuality-and-reasoning-in-language-models-dnorux6k","2023","Posted Content","","","10.48550/arxiv.2305.14325","https://scispace.com/pdf/improving-factuality-and-reasoning-in-language-models-dnorux6k.pdf","Large language models (LLMs) have demonstrated remarkable capabilities in language generation, understanding, and few-shot learning in recent years. An extensive body of work has explored how their performance may be further improved through the tools of prompting, ranging from verification, self-consistency, or intermediate scratchpads. In this paper, we present a complementary approach to improve language responses where multiple language model instances propose and debate their individual responses and reasoning processes over multiple rounds to arrive at a common final answer. Our findings indicate that this approach significantly enhances mathematical and strategic reasoning across a number of tasks. We also demonstrate that our approach improves the factual validity of generated content, reducing fallacious answers and hallucinations that contemporary models are prone to. Our approach may be directly applied to existing black-box models and uses identical procedure and prompts for all tasks we investigate. Overall, our findings suggest that such ""society of minds"" approach has the potential to significantly advance the capabilities of LLMs and pave the way for further breakthroughs in language generation and understanding. ","This paper proposed a ""society of minds"" approach to improve the performance of large language models, where multiple language model instances propose and debate their individual responses and reasoning processes over multiple rounds to arrive at a common final answer."
"Improving Factuality and Reasoning in Language Models through Multiagent Debate","https://scispace.com/paper/improving-factuality-and-reasoning-in-language-models-2t0ii3yj","2023","Journal Article","arXiv.org","Yilun Du
Shuang Li
Antonio Torralba
Joshua B. Tenenbaum
Igor Mordatch","10.48550/arXiv.2305.14325","https://export.arxiv.org/pdf/2305.14325v1.pdf","Large language models (LLMs) have demonstrated remarkable capabilities in language generation, understanding, and few-shot learning in recent years. An extensive body of work has explored how their performance may be further improved through the tools of prompting, ranging from verification, self-consistency, or intermediate scratchpads. In this paper, we present a complementary approach to improve language responses where multiple language model instances propose and debate their individual responses and reasoning processes over multiple rounds to arrive at a common final answer. Our findings indicate that this approach significantly enhances mathematical and strategic reasoning across a number of tasks. We also demonstrate that our approach improves the factual validity of generated content, reducing fallacious answers and hallucinations that contemporary models are prone to. Our approach may be directly applied to existing black-box models and uses identical procedure and prompts for all tasks we investigate. Overall, our findings suggest that such""society of minds""approach has the potential to significantly advance the capabilities of LLMs and pave the way for further breakthroughs in language generation and understanding.","This paper proposed a ""Society of minds"" approach to improve language responses where multiple language model instances propose and debate their individual responses and reasoning processes over multiple rounds to arrive at a common final answer."
"Simulating Expert Discussions with Multi-agent for Enhanced Scientific Problem Solving","https://scispace.com/paper/simulating-expert-discussions-with-multi-agent-for-enhanced-233i75y3kyqx","2024","Journal Article","","Ziyue Li
Chang Yuan
Xiaoqiu Le","10.18653/v1/2024.sdp-1.23","https://scispace.compdf/simulating-expert-discussions-with-multi-agent-for-enhanced-233i75y3kyqx.pdf","Large Language Models (LLMs) have shown remarkable potential across various domains, yet their application in addressing complex scientific problems remains a formidable challenge. This paper presents a novel methodology to augment the problem-solving capabilities of LLMs by assigning them roles as domain-specific experts. By simulating a panel of experts, each LLM is tasked with delivering professional and cautious responses to scientific inquiries. Our approach involves querying multiple LLMs and assessing the consistency of their responses. High agreement among the LLMs suggests greater confidence in the proposed solution, whereas discrepancies prompt a collaborative discussion among the LLMs to reach a consensus. This method emulates real-world scientific problem-solving processes, fostering a more reliable and robust mechanism for LLMs to tackle scientific questions. Our experimental results show that assigning roles to multiple LLMs as domain-specific experts significantly improves their accuracy and reliability in solving scientific problems. This framework has the potential to advance the application of AI in scientific research, enhancing its effectiveness and trustworthiness.","This paper presents a novel methodology to augment Large Language Models' problem-solving capabilities by simulating expert discussions, improving accuracy and reliability in addressing complex scientific problems through collaborative consensus-building among multiple LLMs."
"Multi-Agent Consensus Seeking via Large Language Models","https://scispace.com/paper/multi-agent-consensus-seeking-via-large-language-models-1727jcrgin","2023","Journal Article","arXiv.org","Huaben Chen
Wenkang Ji
Lufeng Xu
Shiyu Zhao","10.48550/arxiv.2310.20151","","Multi-agent systems driven by large language models (LLMs) have shown promising abilities for solving complex tasks in a collaborative manner. This work considers a fundamental problem in multi-agent collaboration: consensus seeking. When multiple agents work together, we are interested in how they can reach a consensus through inter-agent negotiation. To that end, this work studies a consensus-seeking task where the state of each agent is a numerical value and they negotiate with each other to reach a consensus value. It is revealed that when not explicitly directed on which strategy should be adopted, the LLM-driven agents primarily use the average strategy for consensus seeking although they may occasionally use some other strategies. Moreover, this work analyzes the impact of the agent number, agent personality, and network topology on the negotiation process. The findings reported in this work can potentially lay the foundations for understanding the behaviors of LLM-driven multi-agent systems for solving more complex tasks. Furthermore, LLM-driven consensus seeking is applied to a multi-robot aggregation task. This application demonstrates the potential of LLM-driven agents to achieve zero-shot autonomous planning for multi-robot collaboration tasks. Project website: westlakeintelligentrobotics.github.io/ConsensusLLM/. ","This application demonstrates the potential of LLM-driven agents to achieve zero-shot autonomous planning for multi-robot collaboration tasks and analyzes the impact of the agent number, agent personality, and network topology on the negotiation process."
"An argumentation-based framework for deliberation in multi-agent systems","https://scispace.com/paper/an-argumentation-based-framework-for-deliberation-in-multi-1suu2uv64o","2007","Book Chapter","","Santi Ontañón
Enric Plaza","10.1007/978-3-540-78915-4_12","https://www.iiia.csic.es/People/enric/papers/argumentation-learning-LNAI.pdf","This paper focuses of the group judgments obtained from a committee of agents that use deliberation. The deliberative process is realized by an argumentation framework called AMAL. The AMAL framework is completely based on learning from examples: the argument preference relation, the argument generation policy, and the counterargument generation policy are case-based techniques. For join deliberation, learning agents share their experience by forming a committee to decide upon some joint decision. We experimentally show that the deliberation in committees of agents improves the accuracy of group judgments. We also show that a voting scheme based on assessing the confidence of arguments improves the accuracy of group judgments than majority voting.","It is experimentally show that the deliberation in committees of agents improves the accuracy of group judgments and a voting scheme based on assessing the confidence of arguments improves the accuracies of group judgment than majority voting."
