"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Enhancing Language Model Reasoning via Weighted Reasoning in
  Self-Consistency","https://scispace.com/paper/enhancing-language-model-reasoning-via-weighted-reasoning-in-3m55nbwcv005","2024","Journal Article","","Tim Knappe
Ryan Li
Ayush Chauhan
Kaylee Chhua
Kevin Zhu
Sean O’Brien","10.48550/arxiv.2410.07839","https://export.arxiv.org/pdf/2410.07839v1.pdf","While large language models (LLMs) have rapidly improved their performance on a broad number of tasks, they still often fall short on reasoning tasks. As LLMs become more integrated in diverse real-world tasks, advancing their reasoning capabilities is crucial to their effectiveness in nuanced, complex problems. Wang et al's self-consistency framework reveals that sampling multiple rationales before taking a majority vote reliably improves model performance across various closed-answer reasoning tasks. Standard methods based on this framework aggregate the final decisions of these rationales but fail to utilize the detailed step-by-step reasoning paths applied by these paths. Our work enhances this approach by incorporating and analyzing both the reasoning paths of these rationales in addition to their final decisions before taking a majority vote. These methods not only improve the reliability of reasoning paths but also cause more robust performance on complex reasoning tasks. ","This study enhances language model reasoning by incorporating weighted reasoning paths in addition to final decisions, improving reliability and robustness on complex tasks through a self-consistency framework with majority voting."
"Enhancing Large Language Models in Coding Through Multi-Perspective Self-Consistency","https://scispace.com/paper/enhancing-large-language-models-in-coding-through-multi-8d26muo2ks","2023","Journal Article","arXiv.org","Baizhou Huang
Shuai Lu
Weizhu Chen
Xiaojun Wan
Nan Duan","10.48550/arxiv.2309.17272","https://scispace.compdf/enhancing-large-language-models-in-coding-through-multi-8d26muo2ks.pdf","Large language models (LLMs) have exhibited remarkable ability in textual generation. However, in complex reasoning tasks such as code generation, generating the correct answer in a single attempt remains a formidable challenge for LLMs. Previous research has explored solutions by aggregating multiple outputs, leveraging the consistency among them. However, none of them have comprehensively captured this consistency from different perspectives. In this paper, we propose the Multi-Perspective Self-Consistency (MPSC) framework, a novel decoding strategy for LLM that incorporates both inter-consistency across outputs from multiple perspectives and intra-consistency within a single perspective. Specifically, we ask LLMs to sample multiple diverse outputs from various perspectives for a given query and then construct a multipartite graph based on them. With two predefined measures of consistency, we embed both inter- and intra-consistency information into the graph. The optimal choice is then determined based on consistency analysis in the graph. We conduct comprehensive evaluation on the code generation task by introducing solution, specification and test case as three perspectives. We leverage a code interpreter to quantitatively measure the inter-consistency and propose several intra-consistency measure functions. Our MPSC framework significantly boosts the performance on various popular benchmarks, including HumanEval (+17.60%), HumanEval Plus (+17.61%), MBPP (+6.50%) and CodeContests (+11.82%) in Pass@1, when compared to original outputs generated from ChatGPT, and even surpassing GPT-4.","The Multi-Perspective Self-Consistency (MPSC) framework is proposed incorporating both inter- and intra-consistency across outputs from multiple perspectives and significantly boosts performance of foundation models on various benchmarks, including HumanEval, MBPP and CodeContests."
"Self-Consistency Improves Chain of Thought Reasoning in Language Models","https://scispace.com/paper/self-consistency-improves-chain-of-thought-reasoning-in-11cskg6j","2022","Proceedings Article","International Conference on Learning Representations","Xuezhi Wang
Jason Loh Seong Wei
Dale Schuurmans
Quoc Hoai Le
Ed H. Chi
Denny Zhou","10.48550/arXiv.2203.11171","https://scispace.compdf/self-consistency-improves-chain-of-thought-reasoning-in-11cskg6j.pdf","Chain-of-thought prompting combined with pre-trained large language models has achieved encouraging results on complex reasoning tasks. In this paper, we propose a new decoding strategy, self-consistency, to replace the naive greedy decoding used in chain-of-thought prompting. It first samples a diverse set of reasoning paths instead of only taking the greedy one, and then selects the most consistent answer by marginalizing out the sampled reasoning paths. Self-consistency leverages the intuition that a complex reasoning problem typically admits multiple different ways of thinking leading to its unique correct answer. Our extensive empirical evaluation shows that self-consistency boosts the performance of chain-of-thought prompting with a striking margin on a range of popular arithmetic and commonsense reasoning benchmarks, including GSM8K (+17.9%), SVAMP (+11.0%), AQuA (+12.2%), StrategyQA (+6.4%) and ARC-challenge (+3.9%).","A simple ensemble strategy, self-consistency, that robustly improves accuracy across a variety of language models and model scales without the need for additional training or auxiliary models is explored."
"Self-Consistency Improves Chain of Thought Reasoning in Language Models","https://scispace.com/paper/self-consistency-improves-chain-of-thought-reasoning-in-2zr25l7a","2022","Posted Content","","","10.48550/arxiv.2203.11171","https://scispace.com/pdf/self-consistency-improves-chain-of-thought-reasoning-in-2zr25l7a.pdf","Chain-of-thought prompting combined with pre-trained large language models has achieved encouraging results on complex reasoning tasks. In this paper, we propose a new decoding strategy, self-consistency, to replace the naive greedy decoding used in chain-of-thought prompting. It first samples a diverse set of reasoning paths instead of only taking the greedy one, and then selects the most consistent answer by marginalizing out the sampled reasoning paths. Self-consistency leverages the intuition that a complex reasoning problem typically admits multiple different ways of thinking leading to its unique correct answer. Our extensive empirical evaluation shows that self-consistency boosts the performance of chain-of-thought prompting with a striking margin on a range of popular arithmetic and commonsense reasoning benchmarks, including GSM8K (+17.9%), SVAMP (+11.0%), AQuA (+12.2%), StrategyQA (+6.4%) and ARC-challenge (+3.9%). ","This article proposed a self-consistency decoding strategy, which first samples a diverse set of reasoning paths instead of only taking the greedy one, and then selects the most consistent answer by marginalizing out the sampled reasoning paths."
"Universal Self-Consistency for Large Language Model Generation","https://scispace.com/paper/universal-self-consistency-for-large-language-model-2k10x4gnvz","2023","Journal Article","arXiv.org","Xinyun Chen
Renat Aksitov
Uri Alon
Jie Ren
Kefan Xiao
Pengcheng Yin
Sushant Prakash
Charles Sutton
Xuezhi Wang
Denny Zhou","10.48550/arxiv.2311.17311","","Self-consistency with chain-of-thought prompting (CoT) has demonstrated remarkable performance gains on various challenging tasks, by utilizing multiple reasoning paths sampled from large language models (LLMs). However, self-consistency relies on the answer extraction process to aggregate multiple solutions, which is not applicable to free-form answers. In this work, we propose Universal Self-Consistency (USC), which leverages LLMs themselves to select the most consistent answer among multiple candidates. We evaluate USC on a variety of benchmarks, including mathematical reasoning, code generation, long-context summarization, and open-ended question answering. On open-ended generation tasks where the original self-consistency method is not applicable, USC effectively utilizes multiple samples and improves the performance. For mathematical reasoning, USC matches the standard self-consistency performance without requiring the answer formats to be similar. Finally, without access to execution results, USC also matches the execution-based voting performance on code generation.","This work proposes Universal Self-Consistency (USC), which leverages LLMs themselves to select the most consistent answer among multiple candidates and effectively utilizes multiple samples and improves the performance on open-ended generation tasks where the original self-consistency method is not applicable."
"Let's Sample Step by Step: Adaptive-Consistency for Efficient Reasoning with LLMs","https://scispace.com/paper/let-s-sample-step-by-step-adaptive-consistency-for-efficient-2y4hy4b1","2023","Journal Article","arXiv.org","Pranjal Aggarwal
Aman Madaan
Yiming Yang
Mausam","10.48550/arXiv.2305.11860","https://scispace.compdf/let-s-sample-step-by-step-adaptive-consistency-for-efficient-2y4hy4b1.pdf","A popular approach for improving the correctness of output from large language models (LLMs) is Self-Consistency - poll the LLM multiple times and output the most frequent solution. Existing Self-Consistency techniques always draw a constant number of samples per question, where a better approach will be to non-uniformly distribute the available budget based on the amount of agreement in the samples drawn so far. In response, we introduce Adaptive-Consistency, a cost-efficient, model-agnostic technique that dynamically adjusts the number of samples per question using a lightweight stopping criterion. Our experiments over 13 datasets and two LLMs demonstrate that Adaptive-Consistency reduces sample budget by up to 6.0 times with an average accuracy drop of less than 0.1%.","Adaptive-Consistency as discussed by the authors dynamically adjusts the number of samples per question using a lightweight stopping criterion based on the amount of agreement in the samples drawn so far, which is a cost-efficient, model-agnostic technique."
"Let's Sample Step by Step: Adaptive-Consistency for Efficient Reasoning
  with LLMs","https://scispace.com/paper/let-s-sample-step-by-step-adaptive-consistency-for-efficient-15j32t9r","2023","Posted Content","","","10.48550/arxiv.2305.11860","https://scispace.com/pdf/let-s-sample-step-by-step-adaptive-consistency-for-efficient-15j32t9r.pdf","A popular approach for improving the correctness of output from large language models (LLMs) is Self-Consistency - poll the LLM multiple times and output the most frequent solution. Existing Self-Consistency techniques always draw a constant number of samples per question, where a better approach will be to non-uniformly distribute the available budget based on the amount of agreement in the samples drawn so far. In response, we introduce Adaptive-Consistency, a cost-efficient, model-agnostic technique that dynamically adjusts the number of samples per question using a lightweight stopping criterion. Our experiments over 13 datasets and two LLMs demonstrate that Adaptive-Consistency reduces sample budget by up to 6.0 times with an average accuracy drop of less than 0.1%. ","Adaptive-Consistency as discussed by the authors dynamically adjusts the number of samples per question using a lightweight stopping criterion based on the amount of agreement in the samples drawn so far, which is a cost-efficient, model-agnostic technique."
"Ask One More Time: Self-Agreement Improves Reasoning of Language Models in (Almost) All Scenarios","https://scispace.com/paper/ask-one-more-time-self-agreement-improves-reasoning-of-mc99vp665j","2023","Journal Article","arXiv.org","Lei Lin
Jiayi Fu
Pengli Liu
Junchen Wan
Fuzheng Zhang
Zhongyuan Wang
Di Zhang
Kun Gai","10.48550/arxiv.2311.08154","","Although chain-of-thought (CoT) prompting combined with language models has achieved encouraging results on complex reasoning tasks, the naive greedy decoding used in CoT prompting usually causes the repetitiveness and local optimality. To address this shortcoming, ensemble-optimization tries to obtain multiple reasoning paths to get the final answer assembly. However, current ensemble-optimization methods either simply employ rule-based post-processing such as \textit{self-consistency}, or train an additional model based on several task-related human annotations to select the best one among multiple reasoning paths, yet fail to generalize to realistic settings where the type of input questions is unknown or the answer format of reasoning paths is unknown. To avoid their limitations, we propose \textbf{self-agreement}, a generalizable ensemble-optimization method applying in almost all scenarios where the type of input questions and the answer format of reasoning paths may be known or unknown. Self-agreement firstly samples from language model's decoder to generate a \textit{diverse} set of reasoning paths, and subsequently prompts the language model \textit{one more time} to determine the optimal answer by selecting the most \textit{agreed} answer among the sampled reasoning paths. Self-agreement simultaneously achieves remarkable performance on six public reasoning benchmarks and superior generalization capabilities.","Self-agreement is proposed, a generalizable ensemble-optimization method applying in almost all scenarios where the type of input questions and the answer format of reasoning paths may be known or unknown, and achieves remarkable performance on six public reasoning benchmarks and superior generalization capabilities."
"Let’s Sample Step by Step: Adaptive-Consistency for Efficient Reasoning and Coding with LLMs","https://scispace.com/paper/lets-sample-step-by-step-adaptive-consistency-for-efficient-47ip2pz1at","2023","Journal Article","","Pranjal Aggarwal
Aman Madaan
Yiming Yang
Mausam Mausam","10.18653/v1/2023.emnlp-main.761","https://scispace.compdf/lets-sample-step-by-step-adaptive-consistency-for-efficient-47ip2pz1at.pdf","A popular approach for improving the correctness of output from large language models (LLMs) is Self-Consistency - poll the LLM multiple times and output the most frequent solution. Existing Self-Consistency techniques always generate a constant number of samples per question, where a better approach will be to non-uniformly distribute the available budget based on the amount of agreement in the samples generated so far. In response, we introduce Adaptive-Consistency, a cost-efficient, model-agnostic technique that dynamically adjusts the number of samples per question using a lightweight stopping criterion. Our experiments over 17 reasoning and code generation datasets and three LLMs demonstrate that Adaptive-Consistency reduces sample budget by up to 7.9 times with an average accuracy drop of less than 0.1% ","Adaptive-Consistency dynamically adjusts the number of samples per question based on the amount of agreement in the samples generated so far, reducing sample budget without significantly impacting accuracy."
"Improving Factuality and Reasoning in Language Models through Multiagent Debate","https://scispace.com/paper/improving-factuality-and-reasoning-in-language-models-2t0ii3yj","2023","Journal Article","arXiv.org","Yilun Du
Shuang Li
Antonio Torralba
Joshua B. Tenenbaum
Igor Mordatch","10.48550/arXiv.2305.14325","https://export.arxiv.org/pdf/2305.14325v1.pdf","Large language models (LLMs) have demonstrated remarkable capabilities in language generation, understanding, and few-shot learning in recent years. An extensive body of work has explored how their performance may be further improved through the tools of prompting, ranging from verification, self-consistency, or intermediate scratchpads. In this paper, we present a complementary approach to improve language responses where multiple language model instances propose and debate their individual responses and reasoning processes over multiple rounds to arrive at a common final answer. Our findings indicate that this approach significantly enhances mathematical and strategic reasoning across a number of tasks. We also demonstrate that our approach improves the factual validity of generated content, reducing fallacious answers and hallucinations that contemporary models are prone to. Our approach may be directly applied to existing black-box models and uses identical procedure and prompts for all tasks we investigate. Overall, our findings suggest that such""society of minds""approach has the potential to significantly advance the capabilities of LLMs and pave the way for further breakthroughs in language generation and understanding.","This paper proposed a ""Society of minds"" approach to improve language responses where multiple language model instances propose and debate their individual responses and reasoning processes over multiple rounds to arrive at a common final answer."
