"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract"
"A Unified Theory of Diversity in Ensemble Learning","https://scispace.com/paper/http://arxiv.org/abs/2301.03962v3","2023","Preprint","","Danny Wood
Tingting Mu
Andrew Webb
Henry Reeve
Mikel Luján
Gavin Brown","","http://arxiv.org/pdf/2301.03962v3","We present a theory of ensemble diversity, explaining the nature of diversity
for a wide range of supervised learning scenarios. This challenge has been
referred to as the holy grail of ensemble learning, an open research issue for
over 30 years. Our framework reveals that diversity is in fact a hidden
dimension in the bias-variance decomposition of the ensemble loss. We prove a
family of exact bias-variance-diversity decompositions, for a wide range of
losses in both regression and classification, e.g., squared, cross-entropy, and
Poisson losses. For losses where an additive bias-variance decomposition is not
available (e.g., 0/1 loss) we present an alternative approach: quantifying the
effects of diversity, which turn out to be dependent on the label distribution.
Overall, we argue that diversity is a measure of model fit, in precisely the
same sense as bias and variance, but accounting for statistical dependencies
between ensemble members. Thus, we should not be maximising diversity as so
many works aim to do -- instead, we have a bias/variance/diversity trade-off to
manage."
"Weight Ensembling Improves Reasoning in Language Models","https://scispace.com/paper/http://arxiv.org/abs/2504.10478v4","2025","Preprint","","Xingyu Dang
Christina Baek
Kaiyue Wen
Zico Kolter
Aditi Raghunathan","","http://arxiv.org/pdf/2504.10478v4","We investigate a failure mode that arises during the training of reasoning
models, where the diversity of generations begins to collapse, leading to
suboptimal test-time scaling. Notably, the Pass@1 rate reliably improves during
supervised finetuning (SFT), but Pass@k rapidly deteriorates. Surprisingly, a
simple intervention of interpolating the weights of the latest SFT checkpoint
with an early checkpoint, otherwise known as WiSE-FT, almost completely
recovers Pass@k while also improving Pass@1. The WiSE-FT variant achieves
better test-time scaling (Best@k, majority vote) and achieves superior results
with less data when tuned further by reinforcement learning. Finally, we find
that WiSE-FT provides complementary performance gains that cannot be achieved
only through diversity-inducing decoding strategies, like temperature scaling.
We formalize a bias-variance tradeoff of Pass@k with respect to the expectation
and variance of Pass@1 over the test distribution. We find that WiSE-FT can
reduce bias and variance simultaneously, while temperature scaling inherently
trades off between bias and variance."
"A Unified Virtual Mixture-of-Experts Framework:Enhanced Inference and
  Hallucination Mitigation in Single-Model System","https://scispace.com/paper/http://arxiv.org/abs/2504.03739v1","2025","Preprint","","Mingyan Liu","","http://arxiv.org/pdf/2504.03739v1","Generative models, such as GPT and BERT, have significantly improved
performance in tasks like text generation and summarization. However,
hallucinations ""where models generate non-factual or misleading content"" are
especially problematic in smaller-scale architectures, limiting their
real-world applicability.In this paper, we propose a unified Virtual
Mixture-of-Experts (MoE) fusion strategy that enhances inference performance
and mitigates hallucinations in a single Qwen 1.5 0.5B model without increasing
the parameter count. Our method leverages multiple domain-specific expert
prompts (with the number of experts being adjustable) to guide the model from
different perspectives. We apply a statistical outlier truncation strategy
based on the mean and standard deviation to filter out abnormally high
probability predictions, and we inject noise into the embedding space to
promote output diversity. To clearly assess the contribution of each module, we
adopt a fixed voting mechanism rather than a dynamic gating network, thereby
avoiding additional confounding factors. We provide detailed theoretical
derivations from both statistical and ensemble learning perspectives to
demonstrate how our method reduces output variance and suppresses
hallucinations. Extensive ablation experiments on dialogue generation tasks
show that our approach significantly improves inference accuracy and robustness
in small models. Additionally, we discuss methods for evaluating the
orthogonality of virtual experts and outline the potential for future work
involving dynamic expert weight allocation using gating networks."
"Ensembling over Classifiers: a Bias-Variance Perspective","https://scispace.com/paper/http://arxiv.org/abs/2206.10566v1","2022","Preprint","","Neha Gupta
Jamie Smith
Ben Adlam
Zelda Mariet","","http://arxiv.org/pdf/2206.10566v1","Ensembles are a straightforward, remarkably effective method for improving
the accuracy,calibration, and robustness of models on classification tasks;
yet, the reasons that underlie their success remain an active area of research.
We build upon the extension to the bias-variance decomposition by Pfau (2013)
in order to gain crucial insights into the behavior of ensembles of
classifiers. Introducing a dual reparameterization of the bias-variance
tradeoff, we first derive generalized laws of total expectation and variance
for nonsymmetric losses typical of classification tasks. Comparing conditional
and bootstrap bias/variance estimates, we then show that conditional estimates
necessarily incur an irreducible error. Next, we show that ensembling in dual
space reduces the variance and leaves the bias unchanged, whereas standard
ensembling can arbitrarily affect the bias. Empirically, standard ensembling
reducesthe bias, leading us to hypothesize that ensembles of classifiers may
perform well in part because of this unexpected reduction.We conclude by an
empirical analysis of recent deep learning methods that ensemble over
hyperparameters, revealing that these techniques indeed favor bias reduction.
This suggests that, contrary to classical wisdom, targeting bias reduction may
be a promising direction for classifier ensembles."
"Utilizing Ensemble Learning for Performance and Power Modeling and
  Improvement of Parallel Cancer Deep Learning CANDLE Benchmarks","https://scispace.com/paper/http://arxiv.org/abs/2011.06654v1","2020","Preprint","","Xingfu Wu
Valerie Taylor","","http://arxiv.org/pdf/2011.06654v1","Machine learning (ML) continues to grow in importance across nearly all
domains and is a natural tool in modeling to learn from data. Often a tradeoff
exists between a model's ability to minimize bias and variance. In this paper,
we utilize ensemble learning to combine linear, nonlinear, and tree-/rule-based
ML methods to cope with the bias-variance tradeoff and result in more accurate
models. Hardware performance counter values are correlated with properties of
applications that impact performance and power on the underlying system. We use
the datasets collected for two parallel cancer deep learning CANDLE benchmarks,
NT3 (weak scaling) and P1B2 (strong scaling), to build performance and power
models based on hardware performance counters using single-object and
multiple-objects ensemble learning to identify the most important counters for
improvement. Based on the insights from these models, we improve the
performance and energy of P1B2 and NT3 by optimizing the deep learning
environments TensorFlow, Keras, Horovod, and Python under the huge page size of
8 MB on the Cray XC40 Theta at Argonne National Laboratory. Experimental
results show that ensemble learning not only produces more accurate models but
also provides more robust performance counter ranking. We achieve up to 61.15%
performance improvement and up to 62.58% energy saving for P1B2 and up to
55.81% performance improvement and up to 52.60% energy saving for NT3 on up to
24,576 cores."
"Optimal Expert Selection for Distributed Mixture-of-Experts at the
  Wireless Edge","https://scispace.com/paper/http://arxiv.org/abs/2503.13421v1","2025","Preprint","","Shengling Qin
Hai Wu
Hongyang Du
Kaibin Huang","","http://arxiv.org/pdf/2503.13421v1","The emergence of distributed Mixture-of-Experts (DMoE) systems, which deploy
expert models at edge nodes, offers a pathway to achieving connected
intelligence in sixth-generation (6G) mobile networks and edge artificial
intelligence (AI). However, current DMoE systems lack an effective expert
selection algorithm to address the simultaneous task-expert relevance and
channel diversity inherent in these systems. Traditional AI or communication
systems focus on either performance or channel conditions, and direct
application of these methods leads to high communication overhead or low
performance. To address this, we propose the DMoE protocol to schedule the
expert inference and inter-expert transmission. This protocol identifies expert
selection and subcarrier allocation as key optimization problems. We formulate
an expert selection problem by incorporating both AI performance and channel
conditions, and further extend it to a Joint Expert and Subcarrier Allocation
(JESA) problem for comprehensive AI and channel management within the DMoE
framework. For the NP-hard expert selection problem, we introduce the Dynamic
Expert Selection (DES) algorithm, which leverages a linear relaxation as a
bounding criterion to significantly reduce search complexity. For the JESA
problem, we discover a unique structural property that ensures asymptotic
optimality in most scenarios. We propose an iterative algorithm that addresses
subcarrier allocation as a subproblem and integrates it with the DES algorithm.
The proposed framework effectively manages the tradeoff between task relevance
and channel conditions through a tunable importance factor, enabling flexible
adaptation to diverse scenarios. Numerical experiments validate the dual
benefits of the proposed expert selection algorithm: high performance and
significantly reduced cost."
"Evolving Ensemble Fuzzy Classifier","https://scispace.com/paper/http://arxiv.org/abs/1705.06460v2","2017","Preprint","","Mahardhika Pratama
Witold Pedrycz
Edwin Lughofer","10.1109/TFUZZ.2018.2796099","http://arxiv.org/pdf/1705.06460v2","The concept of ensemble learning offers a promising avenue in learning from
data streams under complex environments because it addresses the bias and
variance dilemma better than its single model counterpart and features a
reconfigurable structure, which is well suited to the given context. While
various extensions of ensemble learning for mining non-stationary data streams
can be found in the literature, most of them are crafted under a static base
classifier and revisits preceding samples in the sliding window for a
retraining step. This feature causes computationally prohibitive complexity and
is not flexible enough to cope with rapidly changing environments. Their
complexities are often demanding because it involves a large collection of
offline classifiers due to the absence of structural complexities reduction
mechanisms and lack of an online feature selection mechanism. A novel evolving
ensemble classifier, namely Parsimonious Ensemble pENsemble, is proposed in
this paper. pENsemble differs from existing architectures in the fact that it
is built upon an evolving classifier from data streams, termed Parsimonious
Classifier pClass. pENsemble is equipped by an ensemble pruning mechanism,
which estimates a localized generalization error of a base classifier. A
dynamic online feature selection scenario is integrated into the pENsemble.
This method allows for dynamic selection and deselection of input features on
the fly. pENsemble adopts a dynamic ensemble structure to output a final
classification decision where it features a novel drift detection scenario to
grow the ensemble structure. The efficacy of the pENsemble has been numerically
demonstrated through rigorous numerical studies with dynamic and evolving data
streams where it delivers the most encouraging performance in attaining a
tradeoff between accuracy and complexity."
"A Design Framework for operationalizing Trustworthy Artificial
  Intelligence in Healthcare: Requirements, Tradeoffs and Challenges for its
  Clinical Adoption","https://scispace.com/paper/http://arxiv.org/abs/2504.19179v1","2025","Preprint","","Pedro A. Moreno-Sánchez
Javier Del Ser
Mark van Gils
Jussi Hernesniemi","10.1016/j.inffus.2025.103812","http://arxiv.org/pdf/2504.19179v1","Artificial Intelligence (AI) holds great promise for transforming healthcare,
particularly in disease diagnosis, prognosis, and patient care. The increasing
availability of digital medical data, such as images, omics, biosignals, and
electronic health records, combined with advances in computing, has enabled AI
models to approach expert-level performance. However, widespread clinical
adoption remains limited, primarily due to challenges beyond technical
performance, including ethical concerns, regulatory barriers, and lack of
trust. To address these issues, AI systems must align with the principles of
Trustworthy AI (TAI), which emphasize human agency and oversight, algorithmic
robustness, privacy and data governance, transparency, bias and discrimination
avoidance, and accountability. Yet, the complexity of healthcare processes
(e.g., screening, diagnosis, prognosis, and treatment) and the diversity of
stakeholders (clinicians, patients, providers, regulators) complicate the
integration of TAI principles. To bridge the gap between TAI theory and
practical implementation, this paper proposes a design framework to support
developers in embedding TAI principles into medical AI systems. Thus, for each
stakeholder identified across various healthcare processes, we propose a
disease-agnostic collection of requirements that medical AI systems should
incorporate to adhere to the principles of TAI. Additionally, we examine the
challenges and tradeoffs that may arise when applying these principles in
practice. To ground the discussion, we focus on cardiovascular diseases, a
field marked by both high prevalence and active AI innovation, and demonstrate
how TAI principles have been applied and where key obstacles persist."
"RouterKT: Mixture-of-Experts for Knowledge Tracing","https://scispace.com/paper/http://arxiv.org/abs/2504.08989v3","2025","Preprint","","Han Liao
Shuaishuai Zu","","http://arxiv.org/pdf/2504.08989v3","Knowledge Tracing (KT) is a fundamental task in Intelligent Tutoring Systems
(ITS), which aims to model the dynamic knowledge states of students based on
their interaction histories. However, existing KT models often rely on a global
forgetting decay mechanism for capturing learning patterns, assuming that
students' performance is predominantly influenced by their most recent
interactions. Such approaches fail to account for the diverse and complex
learning patterns arising from individual differences and varying learning
stages. To address this limitation, we propose RouterKT, a novel
Mixture-of-Experts (MoE) architecture designed to capture heterogeneous
learning patterns by enabling experts to specialize in different patterns
without any handcrafted learning pattern bias such as forgetting decay.
Specifically, RouterKT introduces a \textbf{person-wise routing mechanism} to
effectively model individual-specific learning behaviors and employs
\textbf{multi-heads as experts} to enhance the modeling of complex and diverse
patterns. Comprehensive experiments on ten benchmark datasets demonstrate that
RouterKT exhibits significant flexibility and improves the performance of
various KT backbone models, with a maximum average AUC improvement of 3.29\%
across different backbones and datasets, outperforming other state-of-the-art
models. Moreover, RouterKT demonstrates consistently superior inference
efficiency compared to existing approaches based on handcrafted learning
pattern bias, highlighting its usability for real-world educational
applications. The source code is available at
https://github.com/ringotc/RouterKT.git."
"Multi-Head Mixture-of-Experts","https://scispace.com/paper/http://arxiv.org/abs/2404.15045v1","2024","Preprint","","Xun Wu
Shaohan Huang
Wenhui Wang
Furu Wei","","http://arxiv.org/pdf/2404.15045v1","Sparse Mixtures of Experts (SMoE) scales model capacity without significant
increases in training and inference costs, but exhibits the following two
issues: (1) Low expert activation, where only a small subset of experts are
activated for optimization. (2) Lacking fine-grained analytical capabilities
for multiple semantic concepts within individual tokens. We propose Multi-Head
Mixture-of-Experts (MH-MoE), which employs a multi-head mechanism to split each
token into multiple sub-tokens. These sub-tokens are then assigned to and
processed by a diverse set of experts in parallel, and seamlessly reintegrated
into the original token form. The multi-head mechanism enables the model to
collectively attend to information from various representation spaces within
different experts, while significantly enhances expert activation, thus deepens
context understanding and alleviate overfitting. Moreover, our MH-MoE is
straightforward to implement and decouples from other SMoE optimization
methods, making it easy to integrate with other SMoE models for enhanced
performance. Extensive experimental results across three tasks: English-focused
language modeling, Multi-lingual language modeling and Masked multi-modality
modeling tasks, demonstrate the effectiveness of MH-MoE."
