"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Accurate uncertainty estimation and decomposition in ensemble learning","https://scispace.com/paper/accurate-uncertainty-estimation-and-decomposition-in-2da93dh2fl","2019","Proceedings Article","Neural Information Processing Systems","Jeremiah Zhe Liu
John Paisley
Marianthi-Anna Kioumourtzoglou
Brent A. Coull","","https://proceedings.neurips.cc/paper/2019/file/1cc8a8ea51cd0adddf5dab504a285915-Paper.pdf","… Ensemble learning is a standard approach to building machine learning systems that capture … We introduce a Bayesian nonparametric ensemble (BNE) approach that augments an …","Ensemble learning is a standard approach to building machine learning systems that capture complex phenomena in real-world data. An important aspect of these systems is the complete and valid quantification of model uncertainty. We introduce a Bayesian nonparametric ensemble (BNE) approach that augments an existing ensemble model to account for different sources of model uncertainty. BNE augments a model’s prediction and distribution functions using Bayesian nonparametric machinery. It has a theoretical guarantee in that it robustly estimates the uncertainty patterns in the data distribution, and can decompose its overall predictive uncertainty into distinct components that are due to different sources of noise and error. We show that our method achieves accurate uncertainty estimates under complex observational noise, and illustrate its real-world utility in terms of uncertainty decomposition and model bias detection for an ensemble in predict air pollution exposures in Eastern Massachusetts, USA."
"Domain adaptive ensemble learning","https://scispace.com/paper/domain-adaptive-ensemble-learning-4i5cx32ntm","2020","Journal Article","arXiv: Computer Vision and Pattern Recognition","Kaiyang Zhou
Yongxin Yang
Yu Qiao
Tao Xiang","10.1109/TIP.2021.3112012","https://arxiv.org/pdf/2003.07325","… so that when forming an ensemble, they can leverage … signal to the ensemble of non-experts learned from the other … labels to supervise the ensemble learning. Extensive experiments on …","The problem of generalizing deep neural networks from multiple source domains to a target one is studied under two settings: When unlabeled target data is available, it is a multi-source unsupervised domain adaptation (UDA) problem, otherwise a domain generalization (DG) problem. We propose a unified framework termed domain adaptive ensemble learning (DAEL) to address both problems. A DAEL model is composed of a CNN feature extractor shared across domains and multiple classifier heads each trained to specialize in a particular source domain. Each such classifier is an expert to its own domain and a non-expert to others. DAEL aims to learn these experts collaboratively so that when forming an ensemble, they can leverage complementary information from each other to be more effective for an unseen target domain. To this end, each source domain is used in turn as a pseudo-target-domain with its own expert providing supervisory signal to the ensemble of non-experts learned from the other sources. For unlabeled target data under the UDA setting where real expert does not exist, DAEL uses pseudo-label to supervise the ensemble learning. Extensive experiments on three multi-source UDA datasets and two DG datasets show that DAEL improves the state of the art on both problems, often by significant margins. The code is released at \url{this https URL}."
"Diversity, accuracy and efficiency in ensemble learning: An unexpected result","https://scispace.com/paper/diversity-accuracy-and-efficiency-in-ensemble-learning-an-24dygyesfu","2019","Journal Article","Intelligent Data Analysis","Joseph Johnson
Christophe Giraud-Carrier","10.3233/IDA-183934","","… on analyzing their effect on ensemble accuracy, relatively little … of the base algorithms in ensemble design. We propose to fill … , and two popular ensemble learning techniques, namely …",""
"Deep neural network ensembles against deception: Ensemble diversity, accuracy and robustness","https://scispace.com/paper/deep-neural-network-ensembles-against-deception-ensemble-3bnhgk6e8w","2019","Posted Content","arXiv: Learning","Ling Liu
Wenqi Wei
Ka-Ho Chow
Margaret Loper
Emre Gursoy
Stacey Truex
Yanzhao Wu","","https://arxiv.org/pdf/1908.11091","… Another attractive property of diversity optimized ensemble learning is its robustness against deception: an adversarial perturbation attack can mislead one DNN model to misclassify …","Ensemble learning is a methodology that integrates multiple DNN learners for improving prediction performance of individual learners. Diversity is greater when the errors of the ensemble prediction is more uniformly distributed. Greater diversity is highly correlated with the increase in ensemble accuracy. Another attractive property of diversity optimized ensemble learning is its robustness against deception: an adversarial perturbation attack can mislead one DNN model to misclassify but may not fool other ensemble DNN members consistently. In this paper we first give an overview of the concept of ensemble diversity and examine the three types of ensemble diversity in the context of DNN classifiers. We then describe a set of ensemble diversity measures, a suite of algorithms for creating diversity ensembles and for performing ensemble consensus (voted or learned) for generating high accuracy ensemble output by strategically combining outputs of individual members. This paper concludes with a discussion on a set of open issues in quantifying ensemble diversity for robust deep learning."
"Why m heads are better than one: Training a diverse ensemble of deep networks","https://scispace.com/paper/why-m-heads-are-better-than-one-training-a-diverse-ensemble-1cewbbgow1","2015","Posted Content","arXiv: Computer Vision and Pattern Recognition","Stefan Lee
Senthil Purushwalkam
Michael Cogswell
David J. Crandall
Dhruv Batra","","https://arxiv.org/pdf/1511.06314","… ensemble-aware losses: (1) directly training an ensemble to … Ensemble Learning Theory. Neural networks have been … Much of the theoretical foundation for ensemble learning with …","Convolutional Neural Networks have achieved state-of-the-art performance on a wide range of tasks. Most benchmarks are led by ensembles of these powerful learners, but ensembling is typically treated as a post-hoc procedure implemented by averaging independently trained models with model variation induced by bagging or random initialization. In this paper, we rigorously treat ensembling as a first-class problem to explicitly address the question: what are the best strategies to create an ensemble? We first compare a large number of ensembling strategies, and then propose and evaluate novel strategies, such as parameter sharing (through a new family of models we call TreeNets) as well as training under ensemble-aware and diversity-encouraging losses. We demonstrate that TreeNets can improve ensemble performance and that diverse ensembles can be trained end-to-end under a unified loss, achieving significantly higher ""oracle"" accuracies than classical ensembles."
"Ensemble multifeatured deep learning models and applications: A survey","https://scispace.com/paper/ensemble-multifeatured-deep-learning-models-and-applications-330auaidmd","","Journal Article","IEEE Access","Satheesh Abimannan
El-Sayed M. El-Alfy
Yue-Shan Chang
Shahid Hussain
Saurabh Shukla
Dhivyadharsini Satheesh","10.1109/access.2023.3320042","https://ieeexplore.ieee.org/iel7/6287639/6514899/10265042.pdf","… ensemble learning and model fusion and briefly discuss the common ensemble learning … a ‘super-model’ trained to optimize the collective intelligence of all models involved. Voting …","Ensemble multifeatured deep learning methodology has emerged as a powerful approach to overcome the limitations of single deep learning models in terms of generalization, robustness, and performance. This survey provides an extended review of ensemble multifeatured deep learning models, and their applications, challenges, and future directions. We explore potential applications of these models across various domains, including computer vision, medical imaging, natural language processing, and speech recognition. By combining the strengths of multiple models and features, ensemble multifeatured deep learning models have demonstrated improved performance and adaptability in diverse problem settings. We also discuss the challenges associated with these models, such as model interpretability, computational complexity, ensemble model selection, adversarial robustness, and personalized and federated learning. This survey highlights recent advancements in addressing these challenges and emphasizes the importance of continued research in tackling these issues to enable widespread adoption of ensemble multifeatured deep learning models. It provides an outlook on future research directions, focusing on the development of new algorithms, frameworks, and hardware architectures that can efficiently handle the large-scale computations required by these models. Moreover, it underlines the need for a better understanding of the trade-offs between model complexity, accuracy, and computational resources to optimize the design and deployment of ensemble multifeatured deep learning models. "
"The online performance estimation framework: heterogeneous ensemble learning for data streams","https://scispace.com/paper/the-online-performance-estimation-framework-heterogeneous-k4obuc4h67","2018","Journal Article","Machine Learning","Jan N. van Rijn
Jan N. van Rijn
Geoffrey Holmes
Bernhard Pfahringer
Joaquin Vanschoren","10.1007/S10994-017-5686-9","https://link.springer.com/content/pdf/10.1007/s10994-017-5686-9.pdf","… Furthermore, we compare against the Majority Vote Ensemble, which is a heterogeneous ensemble that predicts the label that is predicted by most ensemble members. This allows to …","Ensembles of classifiers are among the best performing classifiers available in many data mining applications, including the mining of data streams. Rather than training one classifier, multiple classifiers are trained, and their predictions are combined according to a given voting schedule. An important prerequisite for ensembles to be successful is that the individual models are diverse. One way to vastly increase the diversity among the models is to build an heterogeneous ensemble, comprised of fundamentally different model types. However, most ensembles developed specifically for the dynamic data stream setting rely on only one type of base-level classifier, most often Hoeffding Trees. We study the use of heterogeneous ensembles for data streams. We introduce the Online Performance Estimation framework, which dynamically weights the votes of individual classifiers in an ensemble. Using an internal evaluation on recent training data, it measures how well ensemble members performed on this and dynamically updates their weights. Experiments over a wide range of data streams show performance that is competitive with state of the art ensemble techniques, including Online Bagging and Leveraging Bagging, while being significantly faster. All experimental results from this work are easily reproducible and publicly available online."
"A survey on ensemble learning","https://scispace.com/paper/a-survey-on-ensemble-learning-5f4ppd7hzs","2020","Journal Article","Frontiers of Computer Science","Xibin Dong
Zhiwen Yu
Wenming Cao
Yifan Shi
Qianli Ma","10.1007/S11704-019-8208-Z","","… of ensemble learning, and we also give an extra introduction for the combination … ensemble learning with other machine learning hot spots such as deep learning, reinforcement learning…","Despite significant successes achieved in knowledge discovery, traditional machine learning methods may fail to obtain satisfactory performances when dealing with complex data, such as imbalanced, high-dimensional, noisy data, etc. The reason behind is that it is difficult for these methods to capture multiple characteristics and underlying structure of data. In this context, it becomes an important topic in the data mining field that how to effectively construct an efficient knowledge discovery and mining model. Ensemble learning, as one research hot spot, aims to integrate data fusion, data modeling, and data mining into a unified framework. Specifically, ensemble learning firstly extracts a set of features with a variety of transformations. Based on these learned features, multiple learning algorithms are utilized to produce weak predictive results. Finally, ensemble learning fuses the informative knowledge from the above results obtained to achieve knowledge discovery and better predictive performance via voting schemes in an adaptive way. In this paper, we review the research progress of the mainstream approaches of ensemble learning and classify them based on different characteristics. In addition, we present challenges and possible research directions for each mainstream approach of ensemble learning, and we also give an extra introduction for the combination of ensemble learning with other machine learning hot spots such as deep learning, reinforcement learning, etc."
"Ensemble learning from crowds","https://scispace.com/paper/ensemble-learning-from-crowds-4dsbhlj74s","2019","Journal Article","IEEE Transactions on Knowledge and Data Engineering","Jing Zhang
Ming Wu
Victor S. Sheng","10.1109/TKDE.2018.2860992","","… that investigates ensemble learning under … ensemble learning method for learning from crowds without inferring true labels of training instances, which can serve as a metalearning …","Traditional learning from crowdsourced labeled data consists of two stages: inferring true labels for instances from their multiple noisy labels and building a learning model using these instances with the inferred labels. This straightforward two-stage learning scheme suffers from two weaknesses: (1) the accuracy of inference may be very low; (2) useful information may be lost during inference. In this paper, we proposed a novel ensemble method for learning from crowds. Our proposed method is a meta-learning scheme. It first uses a bootstrapping process to create $M$M sub-datasets from an original crowdsourced labeled dataset. For each sub-dataset, each instance is duplicated with different weights according to the distribution and class memberships of its multiple noisy labels. A base classifier is then trained from this extended sub-dataset. Finally, unlabeled instances are predicted by aggregating the outputs of these $M$M base classifiers. Because the proposed method gets rid of the inference procedure and uses the full dataset to train learning models, it preserves the useful information for learning as much as possible. Experimental results on nine simulated and two real-world crowdsourcing datasets consistently show that the proposed ensemble learning method significantly outperforms five state-of-the-art methods."
"Class imbalance ensemble learning based on the margin theory","https://scispace.com/paper/class-imbalance-ensemble-learning-based-on-the-margin-theory-ldeg1wt5g9","2018","Journal Article","Applied Sciences","Wei Feng
Wenjiang Huang
Jinchang Ren","10.3390/APP8050815","","… ensemble margin values, and the effectiveness of combining ensemble learning with margin theory … Consequently, we chose to found our new imbalance ensemble learning method on …","The proportion of instances belonging to each class in a data-set plays an important role in machine learning. However, the real world data often suffer from class imbalance. Dealing with multi-class tasks with different misclassification costs of classes is harder than dealing with two-class ones. Undersampling and oversampling are two of the most popular data preprocessing techniques dealing with imbalanced data-sets. Ensemble classifiers have been shown to be more effective than data sampling techniques to enhance the classification performance of imbalanced data. Moreover, the combination of ensemble learning with sampling methods to tackle the class imbalance problem has led to several proposals in the literature, with positive results. The ensemble margin is a fundamental concept in ensemble learning. Several studies have shown that the generalization performance of an ensemble classifier is related to the distribution of its margins on the training examples. In this paper, we propose a novel ensemble margin based algorithm, which handles imbalanced classification by employing more low margin examples which are more informative than high margin samples. This algorithm combines ensemble learning with undersampling, but instead of balancing classes randomly such as UnderBagging, our method pays attention to constructing higher quality balanced sets for each base classifier. In order to demonstrate the effectiveness of the proposed method in handling class imbalanced data, UnderBagging and SMOTEBagging are used in a comparative analysis. In addition, we also compare the performances of different ensemble margin definitions, including both supervised and unsupervised margins, in class imbalance learning."
