"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"Ensemble Learning, Social Choice and Collective Intelligence","https://scispace.com/paper/ensemble-learning-social-choice-and-collective-intelligence-509fza09cd","2020","Book Chapter","Modeling Decisions for Artificial Intelligence","Andrea Campagner
Davide Ciucci
Federico Cabitza","10.1007/978-3-030-57524-3_5","","Ensemble learning provides a theoretically well-founded approach to address the bias-variance trade-off by combining many learners to obtain an aggregated model with reduced bias or variance. This same idea of extracting knowledge from the predictions or choices of individuals has been also studied under different perspectives in the domains of social choice theory and collective intelligence. Despite this similarity, there has been little research comparing and relating the aggregation strategies proposed in these different domains. In this article, we aim to bridge the gap between these disciplines by means of an experimental evaluation, done on a set of standard datasets, of different aggregation criteria in the context of the training of ensembles of decision trees. We show that a social-science method known as surprisingly popular decision and the three-way reduction, achieve the best performance, while both bagging and boosting outperform social choice-based Borda and Copeland methods.","In this article, the authors compare and compare aggregation strategies in the domains of social choice theory and collective intelligence, and show that surprisingly popular decision and the three-way reduction achieve the best performance while both bagging and boosting outperform social choice-based Borda and Copeland methods."
"A Unified Theory of Diversity in Ensemble Learning","https://scispace.com/paper/a-unified-theory-of-diversity-in-ensemble-learning-2j85kjly","2023","Posted Content","","","10.48550/arxiv.2301.03962","https://scispace.com/pdf/a-unified-theory-of-diversity-in-ensemble-learning-2j85kjly.pdf","We present a theory of ensemble diversity, explaining the nature and effect of diversity for a wide range of supervised learning scenarios. This challenge, of understanding ensemble diversity, has been referred to as the holy grail of ensemble learning, an open question for over 30 years. Our framework reveals that diversity is in fact a hidden dimension in the bias-variance decomposition of an ensemble. In particular, we prove a family of exact bias-variance-diversity decompositions, for both classification and regression losses, e.g., squared, and cross-entropy. The framework provides a methodology to automatically identify the combiner rule enabling such a decomposition, specific to the loss. The formulation of diversity is therefore dependent on just two design choices: the loss, and the combiner. For certain choices (e.g., 0-1 loss with majority voting) the effect of diversity is necessarily dependent on the target label. Experiments illustrate how we can use our framework to understand the diversity-encouraging mechanisms of popular ensemble methods: Bagging, Boosting, and Random Forests. ","In this article , the authors present a theory of ensemble diversity, explaining the nature and effect of diversity for a wide range of supervised learning scenarios, including classification and regression losses, and provide a methodology to automatically identify the combiner rule enabling such a decomposition."
"A Unified Theory of Diversity in Ensemble Learning","https://scispace.com/paper/a-unified-theory-of-diversity-in-ensemble-learning-5eccmot6","2023","Journal Article","arXiv.org","Danny Wood
Tianlong Mu
Andrew M. Webb
Henry W. J. Reeve
Mikel Luján
Gavin Brown","10.48550/arXiv.2301.03962","","We present a theory of ensemble diversity, explaining the nature and eﬀect of diversity for a wide range of supervised learning scenarios. This challenge, of understanding ensemble diversity, has been referred to as the “holy grail” of ensemble learning, an open question for over 30 years. Our framework reveals that diversity is in fact a hidden dimension in the bias-variance decomposition of an ensemble. In particular, we prove a family of exact bias-variance-diversity decompositions, for both classiﬁcation and regression losses, e.g., squared, and cross-entropy. The framework provides a methodology to automatically identify the combiner rule enabling such a decomposition, speciﬁc to the loss. The formulation of diversity is therefore dependent on just two design choices: the loss, and the combiner. For certain choices (e.g., 0-1 loss with majority voting) the eﬀect of diversity is necessarily dependent on the target label. Experiments illustrate how we can use our framework to understand the diversity-encouraging mechanisms of popular ensemble methods: Bagging, Boosting, and Random Forests.","In this paper , the authors present a theory of ensemble diversity, explaining the nature and effect of diversity for a wide range of supervised learning scenarios, including Bagging, Boosting, and Random Forests."
"Robust quantification of prediction uncertainty by inducing heterogeneity in deep ensembles","https://scispace.com/paper/robust-quantification-of-prediction-uncertainty-by-inducing-1zg7dw823h","2023","Journal Article","","Akib Mashrur
Wei Luo
Nayyar A. Zaidi
Antonio Robles-Kelly","10.1109/dicta60407.2023.00072","","Deep ensemble models have garnered attention for their capacity to yield robust predictions along with well-calibrated uncertainty estimates. Empirical evidence suggests that augmenting the number of models within deep ensembles fosters greater diversity in the functional space, enabling the exploration of multiple local optima effectively. This leads to more robust uncertainty estimates in the model. In this paper, we introduce a novel methodology to substantially enhance model diversity by inducing model heterogeneity through controlled perturbation of input images, thereby de-correlating individual models based on their local bias. Drawing inspiration from the bias-variance trade-off, our approach incorporates pre-generated masks during the training process to further refine model performance. To validate the efficacy of our technique in providing more robust estimates under dataset shift, we evaluate model diversity and predictive uncertainty on test samples from both familiar and unfamiliar distributions. Our results demonstrate that our proposed method outperforms recent approaches in detecting out-of-distribution samples, establishing its superiority within the existing literature. ","This paper introduces a novel methodology to substantially enhance model diversity by inducing model heterogeneity through controlled perturbation of input images, thereby de-correlating individual models based on their local bias."
"A Bias-Variance Decomposition for Ensembles over Multiple Synthetic Datasets","https://scispace.com/paper/a-bias-variance-decomposition-for-ensembles-over-multiple-fp94diekqb","2024","Journal Article","arXiv.org","Ossi Räisä
Antti Honkela","10.48550/arxiv.2402.03985","https://scispace.compdf/a-bias-variance-decomposition-for-ensembles-over-multiple-fp94diekqb.pdf","Recent studies have highlighted the benefits of generating multiple synthetic datasets for supervised learning, from increased accuracy to more effective model selection and uncertainty estimation. These benefits have clear empirical support, but the theoretical understanding of them is currently very light. We seek to increase the theoretical understanding by deriving bias-variance decompositions for several settings of using multiple synthetic datasets. Our theory predicts multiple synthetic datasets to be especially beneficial for high-variance downstream predictors, and yields a simple rule of thumb to select the appropriate number of synthetic datasets in the case of mean-squared error and Brier score. We investigate how our theory works in practice by evaluating the performance of an ensemble over many synthetic datasets for several real datasets and downstream predictors. The results follow our theory, showing that our insights are also practically relevant.","The theory predicts multiple synthetic datasets to be especially beneficial for high-variance downstream predictors, and yields a simple rule of thumb to select the appropriate number of synthetic datasets in the case of mean-squared error and Brier score."
"Neural Network Ensembles: Theory, Training, and the Importance of Explicit Diversity.","https://scispace.com/paper/neural-network-ensembles-theory-training-and-the-importance-1iiswiv7h9","2021","Posted Content","arXiv: Learning","Wenjing Li
Randy Paffenroth
David Berthiaume","","http://arxiv.org/pdf/2109.14117.pdf","Ensemble learning is a process by which multiple base learners are strategically generated and combined into one composite learner. There are two features that are essential to an ensemble's performance, the individual accuracies of the component learners and the overall diversity in the ensemble. The right balance of learner accuracy and ensemble diversity can improve the performance of machine learning tasks on benchmark and real-world data sets, and recent theoretical and practical work has demonstrated the subtle trade-off between accuracy and diversity in an ensemble. In this paper, we extend the extant literature by providing a deeper theoretical understanding for assessing and improving the optimality of any given ensemble, including random forests and deep neural network ensembles. We also propose a training algorithm for neural network ensembles and demonstrate that our approach provides improved performance when compared to both state-of-the-art individual learners and ensembles of state-of-the-art learners trained using standard loss functions. Our key insight is that it is better to explicitly encourage diversity in an ensemble, rather than merely allowing diversity to occur by happenstance, and that rigorous theoretical bounds on the trade-off between diversity and learner accuracy allow one to know when an optimal arrangement has been achieved.","In this paper, the authors extend the literature by providing a deeper theoretical understanding for assessing and improving the optimality of any given ensemble, including random forests and deep neural network ensembles."
"Ensemble learning in machine learning: Integrating multiple models for improved predictions","https://scispace.com/paper/ensemble-learning-in-machine-learning-integrating-multiple-e4ydzpjt48","2018","Journal Article","International journal of applied research","DK Sharma
Arun Garg
Anup Kumar","10.22271/allresearch.2018.v4.i7a.11443","","In the rapidly evolving landscape of machine learning, the pursuit of enhancing predictive accuracy and robustness has led to the prominence of ensemble learning methodologies. This paper explores the paradigm of ensemble learning, a sophisticated approach that amalgamates diverse predictive models to yield superior and more reliable outcomes than individual models. The fundamental premise behind ensemble learning lies in the synergistic integration of multiple models, each possessing unique strengths and perspectives, to collectively outperform the limitations inherent in standalone models. Ensemble learning operates on the principle that the aggregation of predictions from diverse models can mitigate individual biases and uncertainties, ultimately resulting in a more accurate and stable predictive framework. This paper provides a comprehensive overview of various ensemble learning techniques, including bagging, boosting, and stacking, elucidating their underlying mechanisms and showcasing their efficacy in different scenarios. The discussion encompasses the theoretical underpinnings of ensemble methods, shedding light on how diversity among constituent models contributes to the overall ensemble's superior predictive performance. The exploration extends to real-world applications of ensemble learning across diverse domains, emphasizing instances where conventional single-model approaches fall short. Through case studies and empirical evidence, the paper underscores the versatility of ensemble learning in addressing complex challenges, from classification and regression problems to outlier detection and pattern recognition. Moreover, the paper delves into the intricacies of model selection, highlighting the importance of carefully curating an ensemble of models with complementary strengths. The concept of model diversity, both in terms of algorithmic variance and data representation, emerges as a pivotal factor influencing the success of ensemble learning endeavors. ","This paper explores ensemble learning, a paradigm that integrates multiple models to enhance predictive accuracy and robustness, discussing techniques like bagging, boosting, and stacking, and their applications in various domains, highlighting the importance of model diversity and selection."
"Mixtures of Heterogeneous Experts","https://scispace.com/paper/mixtures-of-heterogeneous-experts-rgrn3fn25e","2020","Proceedings Article","International Conference on Intelligent Systems","Callum Parton
Andries P. Engelbrecht","10.1145/3396474.3396484","","No single machine learning algorithm is most accurate for all problems due to the effect of an algorithm's inductive bias. Research has shown that a combination of experts of the same type, referred to as a mixture of homogeneous experts, can increase the accuracy of ensembles by reducing the adverse effect of an algorithm's inductive bias. However, the predictive power of a mixture of homogeneous experts is still limited by the inductive bias of the algorithm that makes up the mixture. For this reason, combinations of different machine learning algorithms, referred to as a mixture of heterogeneous experts, has been proposed to take advantage of the strengths of different machine learning algorithms and to reduce the adverse effects of the inductive biases of these algorithms. This paper presents a mixture of heterogeneous experts, and evaluates its performance to that of a number of mixtures of homogeneous experts on a set of classification problems. The results indicate that a mixture of heterogeneous experts aggregates the advantages of experts, increasing the accuracy of predictions. The mixture of heterogeneous experts not only outperformed all homogeneous ensembles on two of the datasets, but also achieved the best overall accuracy rank across the various datasets.","A mixture of heterogeneous experts is presented, and its performance to that of a number of mixtures of homogeneous experts on a set of classification problems indicates that a mixture ofheterogeneous experts aggregates the advantages of experts, increasing the accuracy of predictions."
"Towards a Systematic Approach to Design New Ensemble Learning Algorithms","https://scispace.com/paper/towards-a-systematic-approach-to-design-new-ensemble-4u8yxr0xm4","2024","Journal Article","arXiv.org","João Mendes-Moreira
Tiago Mendes-Neves","10.48550/arxiv.2402.06818","","Ensemble learning has been a focal point of machine learning research due to its potential to improve predictive performance. This study revisits the foundational work on ensemble error decomposition, historically confined to bias-variance-covariance analysis for regression problems since the 1990s. Recent advancements introduced a""unified theory of diversity,""which proposes an innovative bias-variance-diversity decomposition framework. Leveraging this contemporary understanding, our research systematically explores the application of this decomposition to guide the creation of new ensemble learning algorithms. Focusing on regression tasks, we employ neural networks as base learners to investigate the practical implications of this theoretical framework. This approach used 7 simple ensemble methods, we name them strategies, for neural networks that were used to generate 21 new ensemble algorithms. Among these, most of the methods aggregated with the snapshot strategy, one of the 7 strategies used, showcase superior predictive performance across diverse datasets w.r.t. the Friedman rank test with the Conover post-hoc test. Our systematic design approach contributes a suite of effective new algorithms and establishes a structured pathway for future ensemble learning algorithm development.","This study revisits the foundational work on ensemble error decomposition, historically confined to bias-variance-covariance analysis for regression problems since the 1990s, and systematically explores the application of this decomposition to guide the creation of new ensemble learning algorithms."
"Accurate Uncertainty Estimation and Decomposition in Ensemble Learning","https://scispace.com/paper/accurate-uncertainty-estimation-and-decomposition-in-2da93dh2fl","2019","Proceedings Article","Neural Information Processing Systems","Jeremiah Zhe Liu
John Paisley
Marianthi-Anna Kioumourtzoglou
Brent A. Coull","","https://scispace.com/pdf/accurate-uncertainty-estimation-and-decomposition-in-2da93dh2fl.pdf","Ensemble learning is a standard approach to building machine learning systems that capture complex phenomena in real-world data. An important aspect of these systems is the complete and valid quantification of model uncertainty. We introduce a Bayesian nonparametric ensemble (BNE) approach that augments an existing ensemble model to account for different sources of model uncertainty. BNE augments a model’s prediction and distribution functions using Bayesian nonparametric machinery. It has a theoretical guarantee in that it robustly estimates the uncertainty patterns in the data distribution, and can decompose its overall predictive uncertainty into distinct components that are due to different sources of noise and error. We show that our method achieves accurate uncertainty estimates under complex observational noise, and illustrate its real-world utility in terms of uncertainty decomposition and model bias detection for an ensemble in predict air pollution exposures in Eastern Massachusetts, USA.","In this article, a Bayesian nonparametric ensemble (BNE) approach is proposed that augments an existing ensemble model to account for different sources of model uncertainty, such as noise and error."
